row_id,sepal_length,sepal_width,petal_length,petal_width
IRIS-SCORE-00093,5.687,2.851,3.754,1.281
IRIS-SCORE-00094,6.135,2.131,4.956,1.724
IRIS-SCORE-00095,6.333,2.519,4.389,1.278
IRIS-SCORE-00096,6.662,2.928,4.868,1.548
IRIS-SCORE-00097,7.256,2.815,6.677,2.107
IRIS-SCORE-00098,6.139,2.349,5.018,1.465
IRIS-SCORE-00099,6.458,2.971,4.821,1.507
IRIS-SCORE-00100,5.059,2.361,3.607,1.214
IRIS-SCORE-00101,6.148,2.512,4.537,1.329
IRIS-SCORE-00102,5.796,2.819,4.68,1.739
IRIS-SCORE-00103,7.05,3.323,5.899,2.037
IRIS-SCORE-00104,5.997,3.074,4.579,1.426
IRIS-SCORE-00105,6.471,3.384,4.621,1.372
IRIS-SCORE-00106,6.47,2.817,5.275,1.354
IRIS-SCORE-00107,5.918,2.845,4.267,1.388
IRIS-SCORE-00108,6.494,2.571,5.145,1.689
IRIS-SCORE-00109,6.814,2.713,5.89,1.797
IRIS-SCORE-00110,6.453,2.931,4.912,1.544
IRIS-SCORE-00111,5.859,2.658,4.513,2.254
IRIS-SCORE-00112,5.752,2.88,4.554,2.042
IRIS-SCORE-00113,5.523,3.175,4.456,2.296
IRIS-SCORE-00114,6.316,2.757,4.448,1.267
IRIS-SCORE-00115,5.313,2.238,3.401,0.933
IRIS-SCORE-00116,6.201,3.197,4.651,1.688
IRIS-SCORE-00117,6.626,3.125,5.268,2.352
IRIS-SCORE-00118,5.9,2.412,5.15,1.681
IRIS-SCORE-00119,6.904,3.381,5.248,1.679
IRIS-SCORE-00120,6.691,2.715,4.714,1.216
IRIS-SCORE-00121,6.63,3.292,5.376,2.351
IRIS-SCORE-00122,5.881,2.702,3.95,1.47
IRIS-SCORE-00123,5.062,2.797,3.668,1.301
IRIS-SCORE-00124,6.669,2.749,5.061,1.563
IRIS-SCORE-00125,6.598,2.991,4.362,1.291
IRIS-SCORE-00126,5.284,2.466,4.494,1.407
IRIS-SCORE-00127,6.305,2.838,5.233,1.902
IRIS-SCORE-00128,6.148,2.415,3.93,1.181
IRIS-SCORE-00129,6.317,3.033,5.616,2.14
IRIS-SCORE-00130,6.4,2.692,5.591,1.602
IRIS-SCORE-00131,6.574,3.107,4.984,1.724
IRIS-SCORE-00132,6.729,2.569,4.039,1.33
IRIS-SCORE-00133,6.484,3.146,4.736,1.354
IRIS-SCORE-00134,6.644,2.96,4.401,1.303
IRIS-SCORE-00135,6.882,3.05,5.731,2.066
IRIS-SCORE-00136,6.554,2.938,4.639,1.285
IRIS-SCORE-00137,5.995,2.77,5.328,1.847
IRIS-SCORE-00138,6.298,2.127,5.222,1.429
IRIS-SCORE-00139,7.433,2.717,6.38,2.048
IRIS-SCORE-00140,5.66,2.795,4.584,1.373
IRIS-SCORE-00141,6.413,2.951,5.141,2.166
IRIS-SCORE-00142,4.981,2.899,3.668,1.086
IRIS-SCORE-00143,6.28,2.899,5.148,2.198
IRIS-SCORE-00144,6.461,2.922,5.292,2.145
IRIS-SCORE-00145,5.663,2.531,3.937,1.246
IRIS-SCORE-00146,5.688,2.623,4.257,1.125
IRIS-SCORE-00147,5.486,2.967,3.331,1.03
IRIS-SCORE-00148,5.692,2.576,4.172,1.294
IRIS-SCORE-00149,5.805,2.759,5.059,1.824
IRIS-SCORE-00150,5.75,2.604,4.156,1.229
IRIS-SCORE-00151,5.182,2.838,3.71,1.496
IRIS-SCORE-00152,6.213,3.448,5.154,2.357
IRIS-SCORE-00153,6.36,3.135,5.14,2.338
IRIS-SCORE-00154,6.113,3.506,5.295,2.342
IRIS-SCORE-00155,6.32,2.904,4.084,1.318
IRIS-SCORE-00156,6.417,2.838,4.052,1.349
IRIS-SCORE-00157,6.814,2.799,5.436,1.805
IRIS-SCORE-00158,5.83,2.987,4.249,1.366
IRIS-SCORE-00159,5.969,2.949,5.065,1.816
IRIS-SCORE-00160,6.892,2.477,5.791,2.064
IRIS-SCORE-00161,6.362,3.071,4.973,1.903
IRIS-SCORE-00162,6.199,2.607,5.207,1.456
IRIS-SCORE-00163,6.31,2.647,3.925,1.219
IRIS-SCORE-00164,6.099,2.817,4.89,2.15
IRIS-SCORE-00165,5.67,2.717,3.997,1.187
IRIS-SCORE-00166,7.289,3.238,6.039,2.058
IRIS-SCORE-00167,6.971,2.962,6.018,2.115
IRIS-SCORE-00168,6.051,2.69,4.418,1.269
IRIS-SCORE-00169,6.182,3.007,4.389,1.38
IRIS-SCORE-00170,6.432,3.268,5.389,2.255
IRIS-SCORE-00171,6.578,3.103,5.596,2.174
IRIS-SCORE-00172,6.435,3.076,5.507,1.764
IRIS-SCORE-00173,5.656,2.855,3.443,1.299
IRIS-SCORE-00174,6.541,3.07,4.509,1.52
IRIS-SCORE-00175,6.094,2.373,4.559,1.487
IRIS-SCORE-00176,5.99,2.956,4.146,1.391
IRIS-SCORE-00177,6.892,2.852,5.6,2.034
IRIS-SCORE-00178,6.332,3.169,5.449,2.305
IRIS-SCORE-00179,6.78,2.698,5.478,2.029
IRIS-SCORE-00180,6.619,2.699,5.557,1.9
IRIS-SCORE-00181,5.998,2.888,3.707,1.215
IRIS-SCORE-00182,6.273,2.914,5.355,1.529
IRIS-SCORE-00183,7.755,3.425,6.555,1.616
IRIS-SCORE-00184,6.643,2.833,5.466,1.633
IRIS-SCORE-00185,6.782,2.474,5.805,1.989
IRIS-SCORE-00186,7.743,3.307,6.081,2.038
IRIS-SCORE-00187,7.18,3.063,5.995,2.213
IRIS-SCORE-00188,6.207,2.905,3.923,1.208
IRIS-SCORE-00189,5.607,2.611,3.893,1.252
IRIS-SCORE-00190,6.165,2.303,5.212,1.808
IRIS-SCORE-00191,5.625,2.98,3.614,1.235
IRIS-SCORE-00192,6.118,2.731,5.044,2.195
IRIS-SCORE-00193,6.53,2.9,5.871,2.112
IRIS-SCORE-00194,6.267,2.389,4.905,1.551
IRIS-SCORE-00195,7.337,3.147,6.165,2.267
IRIS-SCORE-00196,4.652,1.998,3.401,1.087
IRIS-SCORE-00197,5.538,2.545,4.385,1.427
IRIS-SCORE-00198,6.091,2.662,5.149,2.104
IRIS-SCORE-00199,6.49,3.371,5.771,2.024
IRIS-SCORE-00200,5.08,2.455,3.586,0.933
IRIS-SCORE-00201,5.531,2.53,4.408,1.195
IRIS-SCORE-00202,5.376,2.534,4.799,1.533
IRIS-SCORE-00203,6.245,2.768,4.818,1.478
IRIS-SCORE-00204,5.821,2.68,5.315,2.153
IRIS-SCORE-00205,6.188,3.264,4.642,1.446
IRIS-SCORE-00206,5.745,2.928,3.802,1.309
IRIS-SCORE-00207,6.624,3.178,5.164,2.412
IRIS-SCORE-00208,6.367,3.428,5.229,2.178
IRIS-SCORE-00209,6.682,2.847,4.525,1.434
IRIS-SCORE-00210,7.166,2.866,5.938,2.087
IRIS-SCORE-00211,5.593,2.745,4.228,1.392
IRIS-SCORE-00212,7.072,3.176,5.938,2.101
IRIS-SCORE-00213,6.725,3.44,4.613,2.211
IRIS-SCORE-00214,6.105,3.218,4.368,1.331
IRIS-SCORE-00215,5.377,2.642,4.19,1.208
IRIS-SCORE-00216,6.543,3.004,5.018,1.624
IRIS-SCORE-00217,5.553,2.904,4.454,1.522
IRIS-SCORE-00218,6.439,2.723,4.178,1.164
IRIS-SCORE-00219,7.473,3.104,6.489,2.033
IRIS-SCORE-00220,7.344,2.961,5.794,1.791
IRIS-SCORE-00221,6.514,3.101,4.544,1.577
IRIS-SCORE-00222,6.122,3.049,5.13,2.091
IRIS-SCORE-00223,6.42,3.151,4.731,1.405
IRIS-SCORE-00224,6.612,3.465,5.899,2.498
IRIS-SCORE-00225,6.929,3.193,6.123,1.949
IRIS-SCORE-00226,6.104,2.61,5.445,1.762
IRIS-SCORE-00227,5.736,2.854,4.412,1.298
IRIS-SCORE-00228,5.526,2.81,4.234,1.226
IRIS-SCORE-00229,6.419,3.439,5.24,2.217
IRIS-SCORE-00230,6.385,3.211,5.334,2.082
IRIS-SCORE-00231,5.185,2.293,4.019,1.136
IRIS-SCORE-00232,5.631,2.967,4.541,2.015
IRIS-SCORE-00233,5.858,2.44,4.649,1.85
IRIS-SCORE-00234,5.896,2.763,5.139,1.833
IRIS-SCORE-00235,6.483,2.714,5.368,1.815
IRIS-SCORE-00236,5.888,2.704,4.802,1.851
IRIS-SCORE-00237,6.977,3.024,6.277,2.028
IRIS-SCORE-00238,5.953,3.519,4.596,1.527
IRIS-SCORE-00239,6.655,3.427,5.529,2.085
IRIS-SCORE-00240,6.946,3.121,6.113,2.361
IRIS-SCORE-00241,5.869,3.005,3.918,1.201
IRIS-SCORE-00242,6.734,3.364,4.921,1.846
IRIS-SCORE-00243,7.418,2.692,6.016,1.614
IRIS-SCORE-00244,6.647,2.842,4.464,1.51
IRIS-SCORE-00245,6.825,3.265,5.08,1.709
IRIS-SCORE-00246,6.339,2.602,4.505,1.491
IRIS-SCORE-00247,6.747,3.013,5.824,2.093
IRIS-SCORE-00248,6.514,3.494,5.736,2.516
IRIS-SCORE-00249,6.696,3.057,5.21,1.835
IRIS-SCORE-00250,6.76,2.663,5.573,1.947
IRIS-SCORE-00251,5.776,2.544,4.053,1.482
IRIS-SCORE-00252,5.938,2.307,4.039,1.103
IRIS-SCORE-00253,6.331,3.045,5.052,1.981
IRIS-SCORE-00254,6.146,2.828,4.117,1.121
IRIS-SCORE-00255,5.807,3.16,4.704,1.667
IRIS-SCORE-00256,5.993,2.828,4.751,2.584
IRIS-SCORE-00257,6.856,2.851,5.757,1.813
IRIS-SCORE-00258,6.264,2.748,4.343,1.403
IRIS-SCORE-00259,5.756,2.841,4.346,1.275
IRIS-SCORE-00260,5.071,2.571,3.398,1.059
IRIS-SCORE-00261,7.901,3.649,6.06,2.523
IRIS-SCORE-00262,6.824,2.816,5.989,1.747
IRIS-SCORE-00263,6.747,2.784,5.79,2.255
IRIS-SCORE-00264,6.063,2.784,4.778,1.583
IRIS-SCORE-00265,6.537,3.321,5.293,2.145
IRIS-SCORE-00266,6.2,2.812,4.999,1.98
IRIS-SCORE-00267,5.643,2.27,5.141,1.436
IRIS-SCORE-00268,4.783,2.775,3.246,1.086
IRIS-SCORE-00269,6.365,2.644,5.199,2.07
IRIS-SCORE-00270,6.082,3.235,4.53,1.548
IRIS-SCORE-00271,6.584,3.393,5.365,2.348
IRIS-SCORE-00272,4.896,2.455,4.057,1.46
IRIS-SCORE-00273,5.677,2.786,3.952,1.258
IRIS-SCORE-00274,5.76,2.484,4.541,1.306
IRIS-SCORE-00275,6.757,3.505,4.609,1.511
IRIS-SCORE-00276,6.689,3.264,4.85,1.612
IRIS-SCORE-00277,6.889,2.721,5.882,1.709
IRIS-SCORE-00278,5.851,2.941,4.119,1.182
IRIS-SCORE-00279,6.056,3.197,4.503,1.492
IRIS-SCORE-00280,7.549,3.34,6.324,2.525
IRIS-SCORE-00281,6.487,3.01,5.365,1.569
IRIS-SCORE-00282,6.342,2.456,4.336,1.228
IRIS-SCORE-00283,7.485,3.003,6.4,2.28
IRIS-SCORE-00284,6.328,3.188,4.521,1.431
IRIS-SCORE-00285,6.623,2.805,4.886,1.449
IRIS-SCORE-00286,6.017,2.624,4.293,1.315
IRIS-SCORE-00287,7.136,3.194,6.15,2.311
IRIS-SCORE-00288,5.793,2.515,4.341,1.417
IRIS-SCORE-00289,6.536,2.716,5.506,2.014
IRIS-SCORE-00290,6.029,2.676,4.046,1.185
IRIS-SCORE-00291,5.465,2.878,4.378,1.39
IRIS-SCORE-00292,5.665,2.476,4.319,1.431
IRIS-SCORE-00293,6.801,3.108,5.479,2.352
IRIS-SCORE-00294,6.537,3.259,5.227,1.935
IRIS-SCORE-00295,5.812,2.557,4.135,1.199
IRIS-SCORE-00296,5.159,2.24,3.549,1.293
IRIS-SCORE-00297,5.793,2.615,4.326,1.216
IRIS-SCORE-00298,5.698,2.843,4.527,1.404
IRIS-SCORE-00299,5.469,2.917,3.692,1.186
IRIS-SCORE-00300,5.731,2.944,4.597,1.957
IRIS-SCORE-00301,6.056,2.955,4.427,1.323
IRIS-SCORE-00302,6.02,3.035,3.946,1.252
IRIS-SCORE-00303,6.141,2.567,4.357,1.294
IRIS-SCORE-00304,5.301,2.529,3.743,0.982
IRIS-SCORE-00305,7.161,2.938,5.903,2.128
IRIS-SCORE-00306,6.223,2.869,4.27,1.437
IRIS-SCORE-00307,6.429,2.933,4.675,1.403
IRIS-SCORE-00308,7.099,2.524,6.215,1.761
IRIS-SCORE-00309,6.196,2.673,4.239,1.248
IRIS-SCORE-00310,6.522,3.137,5.099,1.648
IRIS-SCORE-00311,6.346,3.284,4.486,1.389
IRIS-SCORE-00312,6.956,3.105,5.911,2.201
IRIS-SCORE-00313,5.76,2.72,4.283,1.158
IRIS-SCORE-00314,6.13,2.841,5.51,1.66
IRIS-SCORE-00315,6.164,2.816,4.742,1.455
IRIS-SCORE-00316,5.997,2.763,4.348,1.446
IRIS-SCORE-00317,5.904,2.822,5.23,1.807
IRIS-SCORE-00318,5.83,2.548,4.248,1.211
IRIS-SCORE-00319,6.687,3.186,5.79,1.995
IRIS-SCORE-00320,5.57,3.201,4.138,1.449
IRIS-SCORE-00321,6.495,2.772,4.533,1.303
IRIS-SCORE-00322,6.287,3.277,5.377,1.994
IRIS-SCORE-00323,6.086,2.548,3.966,1.265
IRIS-SCORE-00324,6.266,2.746,4.478,1.285
IRIS-SCORE-00325,6.093,3.425,4.753,1.71
IRIS-SCORE-00326,7.27,2.64,6.483,1.559
IRIS-SCORE-00327,6.464,2.143,5.382,1.679
IRIS-SCORE-00328,6.887,2.917,5.808,2.16
IRIS-SCORE-00329,5.709,3.005,4.204,1.293
IRIS-SCORE-00330,6.088,3.151,4.422,1.242
IRIS-SCORE-00331,6.274,3.171,4.643,1.652
IRIS-SCORE-00332,6.074,2.826,5.147,2.274
IRIS-SCORE-00333,6.221,2.909,5.146,1.66
IRIS-SCORE-00334,6.588,3.161,5.336,1.9
IRIS-SCORE-00335,6.163,2.839,4.989,1.47
IRIS-SCORE-00336,5.443,2.659,3.693,1.163
IRIS-SCORE-00337,5.738,2.782,4.755,1.912
IRIS-SCORE-00338,4.903,2.696,3.604,1.022
IRIS-SCORE-00339,5.53,2.583,3.69,1.185
IRIS-SCORE-00340,5.381,2.391,3.571,1.104
IRIS-SCORE-00341,6.393,2.872,5.31,1.694
IRIS-SCORE-00342,6.335,2.636,4.303,1.205
IRIS-SCORE-00343,6.185,3.07,4.463,1.595
IRIS-SCORE-00344,6.12,2.712,4.564,1.303
IRIS-SCORE-00345,5.522,2.372,4.084,1.175
IRIS-SCORE-00346,5.713,2.55,3.7,0.925
IRIS-SCORE-00347,5.599,2.699,4.329,1.168
IRIS-SCORE-00348,5.919,2.863,5.362,1.609
IRIS-SCORE-00349,6.665,2.398,5.965,2.01
IRIS-SCORE-00350,6.58,2.894,5.665,2.106
IRIS-SCORE-00351,6.493,2.802,5.79,1.85
IRIS-SCORE-00352,5.452,2.496,4.097,1.224
IRIS-SCORE-00353,5.894,2.783,5.021,1.923
IRIS-SCORE-00354,6.62,2.724,4.322,1.353
IRIS-SCORE-00355,5.632,3.191,4.436,2.024
IRIS-SCORE-00356,7.329,3.1,6.204,1.786
IRIS-SCORE-00357,5.783,2.44,4.42,1.292
IRIS-SCORE-00358,6.545,2.833,4.402,1.412
IRIS-SCORE-00359,6.651,2.643,4.591,1.562
IRIS-SCORE-00360,5.385,2.772,4.553,2.089
IRIS-SCORE-00361,5.541,2.695,4.347,1.472
IRIS-SCORE-00362,5.617,3.001,4.034,1.389
IRIS-SCORE-00363,7.777,3.213,6.029,2.288
IRIS-SCORE-00364,6.951,2.854,4.778,1.315
IRIS-SCORE-00365,5.476,2.606,3.756,1.247
IRIS-SCORE-00366,7.145,2.914,4.868,1.418
IRIS-SCORE-00367,7.23,2.736,6.254,1.877
IRIS-SCORE-00368,5.666,2.537,4.122,1.149
IRIS-SCORE-00369,6.296,2.86,5.631,1.981
IRIS-SCORE-00370,6.088,2.659,4.38,1.232
IRIS-SCORE-00371,6.603,2.692,4.222,1.315
IRIS-SCORE-00372,7.24,2.482,6.015,1.856
IRIS-SCORE-00373,5.931,2.941,4.57,1.454
IRIS-SCORE-00374,6.298,2.085,5.235,1.619
IRIS-SCORE-00375,6.484,2.731,4.904,1.608
IRIS-SCORE-00376,6.611,2.724,5.898,1.935
IRIS-SCORE-00377,6.064,2.941,4.179,1.284
IRIS-SCORE-00378,6.121,2.835,4.185,1.21
IRIS-SCORE-00379,5.718,2.734,4.144,1.44
IRIS-SCORE-00380,4.984,2.597,3.417,0.969
IRIS-SCORE-00381,6.069,3.04,4.532,2.179
IRIS-SCORE-00382,6.736,2.334,5.924,1.579
IRIS-SCORE-00383,5.692,2.734,4.13,1.349
IRIS-SCORE-00384,7.103,3.117,5.905,1.851
IRIS-SCORE-00385,6.066,2.75,3.923,1.263
IRIS-SCORE-00386,6.193,2.789,5.167,1.993
IRIS-SCORE-00387,6.536,3.15,5.435,2.17
IRIS-SCORE-00388,6.657,3.201,5.813,2.052
IRIS-SCORE-00389,5.995,3.103,4.374,1.448
IRIS-SCORE-00390,6.533,2.865,4.618,1.301
IRIS-SCORE-00391,7.34,3.15,5.667,2.286
IRIS-SCORE-00392,7.791,3.444,6.15,2.379
IRIS-SCORE-00393,7.423,3.159,6.429,1.963
IRIS-SCORE-00394,7.444,3.471,5.953,2.337
IRIS-SCORE-00395,5.928,2.503,4.173,1.181
IRIS-SCORE-00396,7.185,2.977,6.065,1.771
IRIS-SCORE-00397,5.869,3.24,4.108,1.424
IRIS-SCORE-00398,5.742,2.533,5.041,2.07
IRIS-SCORE-00399,7.369,2.862,6.177,1.593
IRIS-SCORE-00400,6.455,2.804,4.297,1.319
IRIS-SCORE-00401,6.461,3.312,4.586,1.549
IRIS-SCORE-00402,5.344,2.874,3.602,1.391
IRIS-SCORE-00403,6.061,3.283,5.636,2.51
IRIS-SCORE-00404,5.555,2.954,4.636,1.852
IRIS-SCORE-00405,5.149,2.47,3.731,1.284
IRIS-SCORE-00406,7.636,3.364,6.671,2.283
IRIS-SCORE-00407,6.505,2.719,4.7,1.305
IRIS-SCORE-00408,5.565,2.12,3.953,1.056
IRIS-SCORE-00409,6.19,2.514,4.345,1.323
IRIS-SCORE-00410,7.283,2.795,6.391,1.997
IRIS-SCORE-00411,5.917,2.763,3.901,1.233
IRIS-SCORE-00412,6.443,2.465,5.278,1.762
IRIS-SCORE-00413,6.447,2.933,4.859,1.4
IRIS-SCORE-00414,5.538,2.434,4.306,1.3
IRIS-SCORE-00415,6.646,2.926,5.735,2.077
IRIS-SCORE-00416,7.474,3.489,6.0,2.059
IRIS-SCORE-00417,7.628,2.959,6.459,2.253
IRIS-SCORE-00418,6.365,2.874,5.313,1.62
IRIS-SCORE-00419,6.426,2.984,4.41,1.613
IRIS-SCORE-00420,6.345,2.727,4.828,1.404
IRIS-SCORE-00421,6.305,2.752,4.958,1.455
IRIS-SCORE-00422,5.93,2.342,5.23,2.037
IRIS-SCORE-00423,6.725,2.938,4.425,1.667
IRIS-SCORE-00424,6.112,2.988,5.062,2.244
IRIS-SCORE-00425,6.278,2.645,3.98,1.195
IRIS-SCORE-00426,6.8,3.096,5.723,2.264
IRIS-SCORE-00427,6.633,3.23,4.45,1.433
IRIS-SCORE-00428,5.708,2.823,4.238,1.346
IRIS-SCORE-00429,7.043,3.337,5.65,2.229
IRIS-SCORE-00430,7.388,3.108,5.883,1.732
IRIS-SCORE-00431,7.376,3.303,5.984,2.303
IRIS-SCORE-00432,6.144,2.889,4.556,1.566
IRIS-SCORE-00433,7.005,3.083,6.093,2.46
IRIS-SCORE-00434,4.871,2.434,3.229,0.945
IRIS-SCORE-00435,6.602,3.016,4.367,1.461
IRIS-SCORE-00436,7.19,3.483,6.021,2.353
IRIS-SCORE-00437,7.525,2.899,6.161,1.883
IRIS-SCORE-00438,6.927,3.579,5.664,2.205
IRIS-SCORE-00439,6.341,3.114,5.311,1.9
IRIS-SCORE-00440,6.268,2.827,4.575,1.854
IRIS-SCORE-00441,6.623,2.395,5.58,1.38
IRIS-SCORE-00442,5.192,2.923,4.442,2.173
IRIS-SCORE-00443,6.34,2.787,5.975,2.277
IRIS-SCORE-00444,6.123,3.042,5.326,2.351
IRIS-SCORE-00445,6.775,2.813,4.934,1.602
IRIS-SCORE-00446,6.578,2.436,5.707,1.94
IRIS-SCORE-00447,5.163,2.604,4.444,2.021
IRIS-SCORE-00448,5.739,2.72,4.603,1.376
IRIS-SCORE-00449,6.518,3.056,5.883,1.929
IRIS-SCORE-00450,4.927,2.449,3.283,1.205
IRIS-SCORE-00451,7.255,2.965,5.84,2.083
IRIS-SCORE-00452,6.913,3.027,5.55,2.262
IRIS-SCORE-00453,6.739,2.964,5.753,1.577
IRIS-SCORE-00454,5.816,2.764,4.421,1.305
IRIS-SCORE-00455,6.206,2.838,5.211,1.953
IRIS-SCORE-00456,4.953,2.363,3.481,0.942
IRIS-SCORE-00457,6.418,3.145,5.893,2.402
IRIS-SCORE-00458,7.368,3.204,6.749,2.04
IRIS-SCORE-00459,5.386,2.535,4.03,1.345
IRIS-SCORE-00460,6.105,3.181,5.422,1.525
IRIS-SCORE-00461,5.661,2.887,5.019,2.08
IRIS-SCORE-00462,6.612,3.193,5.401,2.551
IRIS-SCORE-00463,6.117,2.289,4.189,1.251
IRIS-SCORE-00464,7.739,2.978,6.711,1.752
IRIS-SCORE-00465,6.024,2.383,5.012,1.664
IRIS-SCORE-00466,6.271,3.269,4.293,1.439
IRIS-SCORE-00467,5.673,2.729,5.113,1.937
IRIS-SCORE-00468,6.484,3.022,4.688,1.573
IRIS-SCORE-00469,5.62,2.735,4.713,1.661
IRIS-SCORE-00470,5.691,2.406,4.07,1.186
IRIS-SCORE-00471,6.616,3.253,5.098,2.108
IRIS-SCORE-00472,7.23,3.255,6.043,2.251
IRIS-SCORE-00473,6.283,3.302,5.437,2.408
IRIS-SCORE-00474,6.828,2.493,5.727,1.789
IRIS-SCORE-00475,7.561,2.899,6.659,1.984
IRIS-SCORE-00476,5.845,3.02,4.226,1.455
IRIS-SCORE-00477,6.739,2.998,5.884,2.142
IRIS-SCORE-00478,6.596,2.782,5.733,1.92
IRIS-SCORE-00479,6.137,2.452,5.182,1.81
IRIS-SCORE-00480,6.766,2.762,5.251,1.78
