row_id,species
IRIS-SCORE-00243,virginica
IRIS-SCORE-00244,versicolor
IRIS-SCORE-00245,versicolor
IRIS-SCORE-00246,versicolor
IRIS-SCORE-00247,virginica
IRIS-SCORE-00248,virginica
IRIS-SCORE-00249,versicolor
IRIS-SCORE-00250,virginica
IRIS-SCORE-00251,versicolor
IRIS-SCORE-00252,versicolor
IRIS-SCORE-00253,virginica
IRIS-SCORE-00254,versicolor
IRIS-SCORE-00255,versicolor
IRIS-SCORE-00256,virginica
IRIS-SCORE-00257,virginica
IRIS-SCORE-00258,versicolor
IRIS-SCORE-00259,versicolor
IRIS-SCORE-00260,versicolor
IRIS-SCORE-00261,virginica
IRIS-SCORE-00262,virginica
IRIS-SCORE-00263,virginica
IRIS-SCORE-00264,versicolor
IRIS-SCORE-00265,virginica
IRIS-SCORE-00266,virginica
IRIS-SCORE-00267,virginica
IRIS-SCORE-00268,versicolor
IRIS-SCORE-00269,virginica
IRIS-SCORE-00270,versicolor
IRIS-SCORE-00271,virginica
IRIS-SCORE-00272,versicolor
IRIS-SCORE-00273,versicolor
IRIS-SCORE-00274,versicolor
IRIS-SCORE-00275,versicolor
IRIS-SCORE-00276,versicolor
IRIS-SCORE-00277,virginica
IRIS-SCORE-00278,versicolor
IRIS-SCORE-00279,versicolor
IRIS-SCORE-00280,virginica
IRIS-SCORE-00281,virginica
IRIS-SCORE-00282,versicolor
IRIS-SCORE-00283,virginica
IRIS-SCORE-00284,versicolor
IRIS-SCORE-00285,versicolor
IRIS-SCORE-00286,versicolor
IRIS-SCORE-00287,virginica
IRIS-SCORE-00288,versicolor
IRIS-SCORE-00289,virginica
IRIS-SCORE-00290,versicolor
IRIS-SCORE-00291,versicolor
IRIS-SCORE-00292,versicolor
IRIS-SCORE-00293,virginica
IRIS-SCORE-00294,virginica
IRIS-SCORE-00295,versicolor
IRIS-SCORE-00296,versicolor
IRIS-SCORE-00297,versicolor
IRIS-SCORE-00298,versicolor
IRIS-SCORE-00299,versicolor
IRIS-SCORE-00300,virginica
IRIS-SCORE-00301,versicolor
IRIS-SCORE-00302,versicolor
IRIS-SCORE-00303,versicolor
IRIS-SCORE-00304,versicolor
IRIS-SCORE-00305,virginica
IRIS-SCORE-00306,versicolor
IRIS-SCORE-00307,versicolor
IRIS-SCORE-00308,virginica
IRIS-SCORE-00309,versicolor
IRIS-SCORE-00310,versicolor
IRIS-SCORE-00311,versicolor
IRIS-SCORE-00312,virginica
IRIS-SCORE-00313,versicolor
IRIS-SCORE-00314,virginica
IRIS-SCORE-00315,versicolor
IRIS-SCORE-00316,versicolor
IRIS-SCORE-00317,virginica
IRIS-SCORE-00318,versicolor
IRIS-SCORE-00319,virginica
IRIS-SCORE-00320,versicolor
IRIS-SCORE-00321,versicolor
IRIS-SCORE-00322,virginica
IRIS-SCORE-00323,versicolor
IRIS-SCORE-00324,versicolor
IRIS-SCORE-00325,versicolor
IRIS-SCORE-00326,virginica
IRIS-SCORE-00327,virginica
IRIS-SCORE-00328,virginica
IRIS-SCORE-00329,versicolor
IRIS-SCORE-00330,versicolor
IRIS-SCORE-00331,versicolor
IRIS-SCORE-00332,virginica
IRIS-SCORE-00333,virginica
IRIS-SCORE-00334,virginica
IRIS-SCORE-00335,versicolor
IRIS-SCORE-00336,versicolor
IRIS-SCORE-00337,virginica
IRIS-SCORE-00338,versicolor
IRIS-SCORE-00339,versicolor
IRIS-SCORE-00340,versicolor
IRIS-SCORE-00341,virginica
IRIS-SCORE-00342,versicolor
IRIS-SCORE-00343,versicolor
IRIS-SCORE-00344,versicolor
IRIS-SCORE-00345,versicolor
IRIS-SCORE-00346,versicolor
IRIS-SCORE-00347,versicolor
IRIS-SCORE-00348,virginica
IRIS-SCORE-00349,virginica
IRIS-SCORE-00350,virginica
IRIS-SCORE-00351,virginica
IRIS-SCORE-00352,versicolor
IRIS-SCORE-00353,virginica
IRIS-SCORE-00354,versicolor
IRIS-SCORE-00355,virginica
IRIS-SCORE-00356,virginica
IRIS-SCORE-00357,versicolor
IRIS-SCORE-00358,versicolor
IRIS-SCORE-00359,versicolor
IRIS-SCORE-00360,virginica
IRIS-SCORE-00361,versicolor
IRIS-SCORE-00362,versicolor
IRIS-SCORE-00363,virginica
IRIS-SCORE-00364,versicolor
IRIS-SCORE-00365,versicolor
IRIS-SCORE-00366,versicolor
IRIS-SCORE-00367,virginica
IRIS-SCORE-00368,versicolor
IRIS-SCORE-00369,virginica
IRIS-SCORE-00370,versicolor
IRIS-SCORE-00371,versicolor
IRIS-SCORE-00372,virginica
IRIS-SCORE-00373,versicolor
IRIS-SCORE-00374,virginica
IRIS-SCORE-00375,versicolor
IRIS-SCORE-00376,virginica
IRIS-SCORE-00377,versicolor
IRIS-SCORE-00378,versicolor
IRIS-SCORE-00379,versicolor
IRIS-SCORE-00380,versicolor
IRIS-SCORE-00381,virginica
IRIS-SCORE-00382,virginica
IRIS-SCORE-00383,versicolor
IRIS-SCORE-00384,virginica
IRIS-SCORE-00385,versicolor
IRIS-SCORE-00386,virginica
IRIS-SCORE-00387,virginica
IRIS-SCORE-00388,virginica
IRIS-SCORE-00389,versicolor
IRIS-SCORE-00390,versicolor
IRIS-SCORE-00391,virginica
IRIS-SCORE-00392,virginica
IRIS-SCORE-00393,virginica
IRIS-SCORE-00394,virginica
IRIS-SCORE-00395,versicolor
IRIS-SCORE-00396,virginica
IRIS-SCORE-00397,versicolor
IRIS-SCORE-00398,virginica
IRIS-SCORE-00399,virginica
IRIS-SCORE-00400,versicolor
IRIS-SCORE-00401,versicolor
IRIS-SCORE-00402,versicolor
IRIS-SCORE-00403,virginica
IRIS-SCORE-00404,virginica
IRIS-SCORE-00405,versicolor
IRIS-SCORE-00406,virginica
IRIS-SCORE-00407,versicolor
IRIS-SCORE-00408,versicolor
IRIS-SCORE-00409,versicolor
IRIS-SCORE-00410,virginica
IRIS-SCORE-00411,versicolor
IRIS-SCORE-00412,virginica
IRIS-SCORE-00413,versicolor
IRIS-SCORE-00414,versicolor
IRIS-SCORE-00415,virginica
IRIS-SCORE-00416,virginica
IRIS-SCORE-00417,virginica
IRIS-SCORE-00418,virginica
IRIS-SCORE-00419,versicolor
IRIS-SCORE-00420,versicolor
IRIS-SCORE-00421,versicolor
IRIS-SCORE-00422,virginica
IRIS-SCORE-00423,versicolor
IRIS-SCORE-00424,virginica
IRIS-SCORE-00425,versicolor
IRIS-SCORE-00426,virginica
IRIS-SCORE-00427,versicolor
IRIS-SCORE-00428,versicolor
IRIS-SCORE-00429,virginica
IRIS-SCORE-00430,virginica
IRIS-SCORE-00431,virginica
IRIS-SCORE-00432,versicolor
IRIS-SCORE-00433,virginica
IRIS-SCORE-00434,versicolor
IRIS-SCORE-00435,versicolor
IRIS-SCORE-00436,virginica
IRIS-SCORE-00437,virginica
IRIS-SCORE-00438,virginica
IRIS-SCORE-00439,virginica
IRIS-SCORE-00440,virginica
IRIS-SCORE-00441,virginica
IRIS-SCORE-00442,virginica
IRIS-SCORE-00443,virginica
IRIS-SCORE-00444,virginica
IRIS-SCORE-00445,versicolor
IRIS-SCORE-00446,virginica
IRIS-SCORE-00447,virginica
IRIS-SCORE-00448,versicolor
IRIS-SCORE-00449,virginica
IRIS-SCORE-00450,versicolor
IRIS-SCORE-00451,virginica
IRIS-SCORE-00452,virginica
IRIS-SCORE-00453,virginica
IRIS-SCORE-00454,versicolor
IRIS-SCORE-00455,virginica
IRIS-SCORE-00456,versicolor
IRIS-SCORE-00457,virginica
IRIS-SCORE-00458,virginica
IRIS-SCORE-00459,versicolor
IRIS-SCORE-00460,virginica
IRIS-SCORE-00461,virginica
IRIS-SCORE-00462,virginica
IRIS-SCORE-00463,versicolor
IRIS-SCORE-00464,virginica
IRIS-SCORE-00465,virginica
IRIS-SCORE-00466,versicolor
IRIS-SCORE-00467,virginica
IRIS-SCORE-00468,versicolor
IRIS-SCORE-00469,virginica
IRIS-SCORE-00470,versicolor
IRIS-SCORE-00471,virginica
IRIS-SCORE-00472,virginica
IRIS-SCORE-00473,virginica
IRIS-SCORE-00474,virginica
IRIS-SCORE-00475,virginica
IRIS-SCORE-00476,versicolor
IRIS-SCORE-00477,virginica
IRIS-SCORE-00478,virginica
IRIS-SCORE-00479,virginica
IRIS-SCORE-00480,virginica
IRIS-SCORE-00481,versicolor
IRIS-SCORE-00482,virginica
IRIS-SCORE-00483,versicolor
IRIS-SCORE-00484,versicolor
IRIS-SCORE-00485,virginica
IRIS-SCORE-00486,virginica
IRIS-SCORE-00487,virginica
IRIS-SCORE-00488,virginica
IRIS-SCORE-00489,virginica
IRIS-SCORE-00490,versicolor
IRIS-SCORE-00491,versicolor
IRIS-SCORE-00492,virginica
IRIS-SCORE-00493,versicolor
IRIS-SCORE-00494,virginica
IRIS-SCORE-00495,virginica
IRIS-SCORE-00496,virginica
IRIS-SCORE-00497,virginica
IRIS-SCORE-00498,virginica
IRIS-SCORE-00499,virginica
IRIS-SCORE-00500,versicolor
IRIS-SCORE-00501,versicolor
IRIS-SCORE-00502,virginica
IRIS-SCORE-00503,virginica
IRIS-SCORE-00504,versicolor
IRIS-SCORE-00505,versicolor
IRIS-SCORE-00506,virginica
IRIS-SCORE-00507,virginica
IRIS-SCORE-00508,virginica
IRIS-SCORE-00509,versicolor
IRIS-SCORE-00510,versicolor
IRIS-SCORE-00511,virginica
IRIS-SCORE-00512,versicolor
IRIS-SCORE-00513,versicolor
IRIS-SCORE-00514,virginica
IRIS-SCORE-00515,versicolor
IRIS-SCORE-00516,versicolor
IRIS-SCORE-00517,virginica
IRIS-SCORE-00518,virginica
IRIS-SCORE-00519,versicolor
IRIS-SCORE-00520,versicolor
IRIS-SCORE-00521,versicolor
IRIS-SCORE-00522,virginica
IRIS-SCORE-00523,versicolor
IRIS-SCORE-00524,virginica
IRIS-SCORE-00525,virginica
IRIS-SCORE-00526,virginica
IRIS-SCORE-00527,versicolor
IRIS-SCORE-00528,virginica
IRIS-SCORE-00529,versicolor
IRIS-SCORE-00530,versicolor
IRIS-SCORE-00531,versicolor
IRIS-SCORE-00532,versicolor
IRIS-SCORE-00533,versicolor
IRIS-SCORE-00534,virginica
IRIS-SCORE-00535,virginica
IRIS-SCORE-00536,versicolor
IRIS-SCORE-00537,versicolor
IRIS-SCORE-00538,virginica
IRIS-SCORE-00539,virginica
IRIS-SCORE-00540,versicolor
IRIS-SCORE-00541,virginica
IRIS-SCORE-00542,versicolor
IRIS-SCORE-00543,virginica
IRIS-SCORE-00544,versicolor
IRIS-SCORE-00545,virginica
IRIS-SCORE-00546,versicolor
IRIS-SCORE-00547,virginica
IRIS-SCORE-00548,versicolor
IRIS-SCORE-00549,versicolor
IRIS-SCORE-00550,versicolor
IRIS-SCORE-00551,virginica
IRIS-SCORE-00552,versicolor
IRIS-SCORE-00553,virginica
IRIS-SCORE-00554,versicolor
IRIS-SCORE-00555,virginica
IRIS-SCORE-00556,virginica
IRIS-SCORE-00557,virginica
IRIS-SCORE-00558,versicolor
IRIS-SCORE-00559,versicolor
IRIS-SCORE-00560,virginica
IRIS-SCORE-00561,virginica
IRIS-SCORE-00562,versicolor
IRIS-SCORE-00563,versicolor
IRIS-SCORE-00564,virginica
IRIS-SCORE-00565,versicolor
IRIS-SCORE-00566,versicolor
IRIS-SCORE-00567,versicolor
IRIS-SCORE-00568,versicolor
IRIS-SCORE-00569,virginica
IRIS-SCORE-00570,virginica
IRIS-SCORE-00571,versicolor
IRIS-SCORE-00572,virginica
IRIS-SCORE-00573,virginica
IRIS-SCORE-00574,versicolor
IRIS-SCORE-00575,virginica
IRIS-SCORE-00576,virginica
IRIS-SCORE-00577,virginica
IRIS-SCORE-00578,virginica
IRIS-SCORE-00579,virginica
IRIS-SCORE-00580,virginica
IRIS-SCORE-00581,versicolor
IRIS-SCORE-00582,versicolor
IRIS-SCORE-00583,versicolor
IRIS-SCORE-00584,virginica
IRIS-SCORE-00585,versicolor
IRIS-SCORE-00586,virginica
IRIS-SCORE-00587,versicolor
IRIS-SCORE-00588,versicolor
IRIS-SCORE-00589,versicolor
IRIS-SCORE-00590,virginica
IRIS-SCORE-00591,virginica
IRIS-SCORE-00592,versicolor
IRIS-SCORE-00593,virginica
IRIS-SCORE-00594,virginica
IRIS-SCORE-00595,versicolor
IRIS-SCORE-00596,virginica
IRIS-SCORE-00597,virginica
IRIS-SCORE-00598,virginica
IRIS-SCORE-00599,versicolor
IRIS-SCORE-00600,virginica
IRIS-SCORE-00601,versicolor
IRIS-SCORE-00602,virginica
IRIS-SCORE-00603,versicolor
IRIS-SCORE-00604,versicolor
IRIS-SCORE-00605,virginica
IRIS-SCORE-00606,versicolor
IRIS-SCORE-00607,virginica
IRIS-SCORE-00608,virginica
IRIS-SCORE-00609,virginica
IRIS-SCORE-00610,versicolor
IRIS-SCORE-00611,versicolor
IRIS-SCORE-00612,versicolor
IRIS-SCORE-00613,virginica
IRIS-SCORE-00614,virginica
IRIS-SCORE-00615,virginica
IRIS-SCORE-00616,virginica
IRIS-SCORE-00617,versicolor
IRIS-SCORE-00618,virginica
IRIS-SCORE-00619,versicolor
IRIS-SCORE-00620,versicolor
IRIS-SCORE-00621,versicolor
IRIS-SCORE-00622,virginica
IRIS-SCORE-00623,virginica
IRIS-SCORE-00624,versicolor
IRIS-SCORE-00625,versicolor
IRIS-SCORE-00626,virginica
IRIS-SCORE-00627,versicolor
IRIS-SCORE-00628,virginica
IRIS-SCORE-00629,versicolor
IRIS-SCORE-00630,virginica
IRIS-SCORE-00631,virginica
IRIS-SCORE-00632,virginica
IRIS-SCORE-00633,virginica
IRIS-SCORE-00634,versicolor
IRIS-SCORE-00635,versicolor
IRIS-SCORE-00636,virginica
IRIS-SCORE-00637,versicolor
IRIS-SCORE-00638,versicolor
IRIS-SCORE-00639,versicolor
IRIS-SCORE-00640,versicolor
IRIS-SCORE-00641,virginica
IRIS-SCORE-00642,versicolor
IRIS-SCORE-00643,versicolor
IRIS-SCORE-00644,versicolor
IRIS-SCORE-00645,versicolor
IRIS-SCORE-00646,versicolor
IRIS-SCORE-00647,virginica
IRIS-SCORE-00648,versicolor
IRIS-SCORE-00649,virginica
IRIS-SCORE-00650,versicolor
IRIS-SCORE-00651,virginica
IRIS-SCORE-00652,virginica
IRIS-SCORE-00653,virginica
IRIS-SCORE-00654,versicolor
IRIS-SCORE-00655,virginica
IRIS-SCORE-00656,virginica
IRIS-SCORE-00657,virginica
IRIS-SCORE-00658,virginica
IRIS-SCORE-00659,versicolor
IRIS-SCORE-00660,versicolor
IRIS-SCORE-00661,versicolor
IRIS-SCORE-00662,virginica
IRIS-SCORE-00663,versicolor
IRIS-SCORE-00664,versicolor
IRIS-SCORE-00665,versicolor
IRIS-SCORE-00666,versicolor
IRIS-SCORE-00667,virginica
IRIS-SCORE-00668,versicolor
IRIS-SCORE-00669,virginica
IRIS-SCORE-00670,virginica
IRIS-SCORE-00671,virginica
IRIS-SCORE-00672,versicolor
IRIS-SCORE-00673,virginica
IRIS-SCORE-00674,virginica
IRIS-SCORE-00675,virginica
IRIS-SCORE-00676,virginica
IRIS-SCORE-00677,virginica
IRIS-SCORE-00678,versicolor
IRIS-SCORE-00679,virginica
IRIS-SCORE-00680,virginica
IRIS-SCORE-00681,virginica
IRIS-SCORE-00682,virginica
IRIS-SCORE-00683,virginica
IRIS-SCORE-00684,versicolor
IRIS-SCORE-00685,virginica
IRIS-SCORE-00686,virginica
IRIS-SCORE-00687,virginica
IRIS-SCORE-00688,versicolor
IRIS-SCORE-00689,virginica
IRIS-SCORE-00690,virginica
IRIS-SCORE-00691,virginica
IRIS-SCORE-00692,versicolor
IRIS-SCORE-00693,virginica
IRIS-SCORE-00694,virginica
IRIS-SCORE-00695,versicolor
IRIS-SCORE-00696,virginica
IRIS-SCORE-00697,versicolor
IRIS-SCORE-00698,virginica
IRIS-SCORE-00699,virginica
IRIS-SCORE-00700,versicolor
IRIS-SCORE-00701,virginica
IRIS-SCORE-00702,virginica
IRIS-SCORE-00703,virginica
IRIS-SCORE-00704,virginica
IRIS-SCORE-00705,versicolor
IRIS-SCORE-00706,virginica
IRIS-SCORE-00707,virginica
IRIS-SCORE-00708,versicolor
IRIS-SCORE-00709,versicolor
IRIS-SCORE-00710,versicolor
IRIS-SCORE-00711,virginica
IRIS-SCORE-00712,virginica
IRIS-SCORE-00713,virginica
IRIS-SCORE-00714,virginica
IRIS-SCORE-00715,virginica
IRIS-SCORE-00716,versicolor
IRIS-SCORE-00717,versicolor
IRIS-SCORE-00718,virginica
IRIS-SCORE-00719,virginica
IRIS-SCORE-00720,virginica
IRIS-SCORE-00721,versicolor
IRIS-SCORE-00722,virginica
IRIS-SCORE-00723,virginica
IRIS-SCORE-00724,virginica
IRIS-SCORE-00725,versicolor
IRIS-SCORE-00726,versicolor
IRIS-SCORE-00727,virginica
IRIS-SCORE-00728,virginica
IRIS-SCORE-00729,versicolor
IRIS-SCORE-00730,versicolor
IRIS-SCORE-00731,versicolor
IRIS-SCORE-00732,virginica
IRIS-SCORE-00733,virginica
IRIS-SCORE-00734,virginica
IRIS-SCORE-00735,versicolor
IRIS-SCORE-00736,versicolor
IRIS-SCORE-00737,versicolor
IRIS-SCORE-00738,virginica
IRIS-SCORE-00739,virginica
IRIS-SCORE-00740,virginica
IRIS-SCORE-00741,virginica
IRIS-SCORE-00742,versicolor
IRIS-SCORE-00743,virginica
IRIS-SCORE-00744,virginica
IRIS-SCORE-00745,versicolor
IRIS-SCORE-00746,versicolor
IRIS-SCORE-00747,versicolor
IRIS-SCORE-00748,versicolor
IRIS-SCORE-00749,virginica
IRIS-SCORE-00750,virginica
IRIS-SCORE-00751,versicolor
IRIS-SCORE-00752,virginica
IRIS-SCORE-00753,versicolor
IRIS-SCORE-00754,versicolor
IRIS-SCORE-00755,virginica
IRIS-SCORE-00756,virginica
IRIS-SCORE-00757,versicolor
IRIS-SCORE-00758,virginica
IRIS-SCORE-00759,versicolor
IRIS-SCORE-00760,virginica
IRIS-SCORE-00761,versicolor
IRIS-SCORE-00762,virginica
IRIS-SCORE-00763,virginica
IRIS-SCORE-00764,virginica
IRIS-SCORE-00765,versicolor
IRIS-SCORE-00766,virginica
IRIS-SCORE-00767,virginica
IRIS-SCORE-00768,virginica
IRIS-SCORE-00769,virginica
IRIS-SCORE-00770,versicolor
IRIS-SCORE-00771,versicolor
IRIS-SCORE-00772,versicolor
IRIS-SCORE-00773,versicolor
IRIS-SCORE-00774,versicolor
IRIS-SCORE-00775,virginica
IRIS-SCORE-00776,virginica
IRIS-SCORE-00777,versicolor
IRIS-SCORE-00778,virginica
IRIS-SCORE-00779,versicolor
IRIS-SCORE-00780,virginica
IRIS-SCORE-00781,virginica
IRIS-SCORE-00782,virginica
IRIS-SCORE-00783,virginica
IRIS-SCORE-00784,versicolor
IRIS-SCORE-00785,virginica
IRIS-SCORE-00786,versicolor
IRIS-SCORE-00787,virginica
IRIS-SCORE-00788,versicolor
IRIS-SCORE-00789,virginica
IRIS-SCORE-00790,virginica
IRIS-SCORE-00791,virginica
IRIS-SCORE-00792,versicolor
IRIS-SCORE-00793,virginica
IRIS-SCORE-00794,virginica
IRIS-SCORE-00795,versicolor
IRIS-SCORE-00796,versicolor
IRIS-SCORE-00797,versicolor
IRIS-SCORE-00798,virginica
IRIS-SCORE-00799,virginica
IRIS-SCORE-00800,versicolor
