customer_id,snapshot_month,region,acquisition_channel,customer_segment,plan_type,age,tenure_months,household_income,credit_score,monthly_fee,avg_monthly_usage_gb,app_sessions_30d,support_tickets_90d,late_payments_12m,discount_pct,data_overage_charges,competitor_price_index,nps_score
CHURN-SCORE-00058,2026-07,south,organic,small_business,basic,57,31,92987.16,677,53.52,80.44,23,0,0,16.14,4.69,0.966,50
CHURN-SCORE-00059,2026-08,south,partner,young_professional,standard,49,41,54159.34,661,54.87,121.12,36,1,0,1.89,0.87,0.967,56
CHURN-SCORE-00060,2026-09,central,paid_search,young_professional,standard,39,47,60746.91,652,46.55,123.15,45,0,1,19.86,5.83,0.93,67
CHURN-SCORE-00061,2026-07,south,paid_search,senior,premium,74,56,56450.95,674,59.98,84.16,31,0,1,13.79,0,0.862,88
CHURN-SCORE-00062,2026-08,west,organic,family,standard,31,38,73412.57,719,71.96,144.53,37,0,0,1.93,9.63,1.041,25
CHURN-SCORE-00063,2026-09,north,paid_search,student,basic,30,4,41541.68,694,35.16,45.62,4,0,1,7.83,0,1.154,60
CHURN-SCORE-00064,2026-07,central,organic,student,basic,28,55,26290.74,698,30.3,48.38,24,0,0,8.68,0,0.929,49
CHURN-SCORE-00065,2026-08,south,referral,senior,premium,67,120,40853.75,590,68.66,84.59,20,0,2,10.02,0,0.909,39
CHURN-SCORE-00066,2026-09,west,organic,student,basic,26,54,37254.37,672,30.67,65.81,23,1,1,8.16,2.3,0.873,45
CHURN-SCORE-00067,2026-07,west,organic,family,premium,40,41,83345.2,796,93.42,247.75,58,0,0,19.94,10.11,1.02,62
CHURN-SCORE-00068,2026-08,south,paid_search,young_professional,premium,37,19,62205.88,727,61.62,221.88,55,2,1,20.82,9.85,0.811,44
CHURN-SCORE-00069,2026-09,north,referral,family,basic,31,12,89625.74,712,38.04,59.08,22,0,1,11.78,0.59,1.027,79
CHURN-SCORE-00070,2026-07,central,organic,family,basic,44,66,79292.5,775,49.19,71.25,24,0,0,2.99,8.17,1.014,71
CHURN-SCORE-00071,2026-08,west,organic,senior,business,75,51,78598.86,701,106.66,146.46,42,0,0,7.65,0,0.833,73
CHURN-SCORE-00072,2026-09,west,retail,small_business,basic,51,103,100455.29,638,62.96,74.95,24,0,0,10.31,3.08,1.044,81
CHURN-SCORE-00073,2026-07,central,retail,senior,standard,58,14,36277.16,595,56.93,63.98,28,0,0,7.38,0,0.982,39
CHURN-SCORE-00074,2026-08,north,organic,senior,standard,59,49,40596.74,570,45.76,48.55,36,0,1,0.84,0,0.964,60
CHURN-SCORE-00075,2026-09,west,partner,family,premium,39,13,96017.96,763,106.19,246.68,57,0,1,3.8,27.14,1.028,23
CHURN-SCORE-00076,2026-07,central,organic,senior,premium,61,28,53694.96,665,71.56,132.51,48,0,0,0.77,0,0.89,37
CHURN-SCORE-00077,2026-08,north,retail,family,basic,46,83,74956.97,628,38.41,47.58,19,2,0,8.03,0,1.06,34
CHURN-SCORE-00078,2026-09,east,organic,family,basic,56,34,61121.25,569,42.62,78.64,31,1,0,4.98,2.63,0.959,27
CHURN-SCORE-00079,2026-07,west,partner,senior,standard,72,29,56029.17,717,56.79,35.68,25,1,0,5.34,1.9,0.961,47
CHURN-SCORE-00080,2026-08,west,partner,family,standard,33,16,88845.0,581,77.42,171.01,47,1,0,0.28,11.34,1.037,15
CHURN-SCORE-00081,2026-09,west,paid_search,senior,basic,63,62,55510.15,628,31.37,27.47,14,0,1,11.47,0,0.977,32
CHURN-SCORE-00082,2026-07,south,retail,family,standard,41,28,54950.37,710,60.85,89.69,26,1,1,3.19,1.44,0.88,36
CHURN-SCORE-00083,2026-08,north,organic,small_business,standard,56,77,103829.53,579,82.43,165.11,46,0,1,18.15,7.22,0.952,47
CHURN-SCORE-00084,2026-09,east,referral,senior,standard,78,42,66962.3,713,50.03,81.12,27,2,0,6.99,1.38,0.947,18
CHURN-SCORE-00085,2026-07,west,paid_search,small_business,premium,51,27,97415.01,733,136.89,281.26,59,0,0,12.44,16.95,1.147,21
CHURN-SCORE-00086,2026-08,north,retail,young_professional,standard,34,47,69369.11,689,39.89,102.65,24,0,0,16.36,1.27,0.846,26
CHURN-SCORE-00087,2026-09,central,partner,young_professional,standard,36,30,76125.54,664,53.1,83.29,36,1,0,5.64,0,0.987,53
CHURN-SCORE-00088,2026-07,north,organic,senior,basic,48,12,58512.26,588,28.44,17.19,12,0,0,9.78,0,1.025,40
CHURN-SCORE-00089,2026-08,central,referral,family,basic,29,11,61494.53,677,49.8,95.37,42,1,1,0,7.72,0.986,23
CHURN-SCORE-00090,2026-09,central,organic,senior,standard,73,42,32432.19,751,51.61,53.52,20,0,0,0,0,0.921,51
CHURN-SCORE-00091,2026-07,north,organic,family,premium,50,30,75370.56,621,96.28,185.41,46,0,1,6.27,5.13,0.961,27
CHURN-SCORE-00092,2026-08,south,organic,family,standard,41,8,107314.69,688,62.42,129.48,27,0,0,9.32,2.06,1.004,52
CHURN-SCORE-00093,2026-09,central,partner,family,premium,45,64,55958.18,548,98.78,235.26,47,0,1,9.81,10.24,0.853,71
CHURN-SCORE-00094,2026-07,north,retail,family,business,54,24,78518.83,622,115.55,348.81,77,2,1,16.5,21.86,0.859,24
CHURN-SCORE-00095,2026-08,south,retail,young_professional,standard,31,21,60106.18,670,48.12,94.44,30,1,0,18.94,0.51,1.014,40
CHURN-SCORE-00096,2026-09,east,partner,senior,business,62,17,50961.33,686,104.49,201.99,42,1,0,7.98,0,0.793,72
CHURN-SCORE-00097,2026-07,central,organic,student,basic,19,42,18000,585,34.17,43.18,23,2,1,6.25,0.74,1.013,46
CHURN-SCORE-00098,2026-08,north,paid_search,young_professional,standard,29,42,60544.69,711,43.29,133.53,47,0,0,15.26,2.7,0.697,31
CHURN-SCORE-00099,2026-09,central,referral,family,standard,42,37,71833.15,603,61.81,144.74,42,1,2,8.17,13.6,0.983,41
CHURN-SCORE-00100,2026-07,central,organic,young_professional,premium,27,11,62189.7,763,83.93,194.01,52,0,0,8.15,1.27,0.966,70
CHURN-SCORE-00101,2026-08,west,organic,senior,premium,62,56,78283.26,668,76.05,153.48,44,0,0,4.82,0,0.944,69
CHURN-SCORE-00102,2026-09,west,referral,young_professional,premium,33,20,77968.15,621,85.25,210.92,57,1,1,11.58,6.08,1.156,34
CHURN-SCORE-00103,2026-07,west,organic,family,standard,34,63,94090.7,627,80.94,98.22,38,2,1,1.09,0,1.202,63
CHURN-SCORE-00104,2026-08,central,paid_search,student,basic,18,4,43171.71,682,20.71,57.15,28,2,1,21.53,1.01,0.969,10
CHURN-SCORE-00105,2026-09,west,paid_search,family,premium,38,28,94435.96,703,101.53,223.59,70,1,1,12.71,16.2,1.017,36
CHURN-SCORE-00106,2026-07,east,partner,student,basic,19,42,43290.17,699,28.96,53.96,14,1,0,0.14,0,1.009,58
CHURN-SCORE-00107,2026-08,central,partner,family,basic,33,9,66295.7,626,48.93,52.74,24,3,0,0,1.94,1.053,27
CHURN-SCORE-00108,2026-09,north,retail,small_business,business,46,27,94080.94,669,166.7,355.74,89,0,0,18.69,18.42,1.121,37
CHURN-SCORE-00109,2026-07,east,organic,student,basic,44,37,18634.57,597,30.03,38.8,19,3,1,10.58,0,1.03,15
CHURN-SCORE-00110,2026-08,east,retail,small_business,premium,41,32,85694.93,646,148.04,203.47,47,0,1,5.57,8.9,1.17,54
CHURN-SCORE-00111,2026-09,west,organic,senior,basic,59,120,57497.0,636,35.54,45.06,20,0,0,6.29,0,0.958,48
CHURN-SCORE-00112,2026-07,west,referral,small_business,standard,49,25,107238.29,700,96.82,164.86,40,2,0,6.84,16.93,1.268,44
CHURN-SCORE-00113,2026-08,east,partner,young_professional,premium,32,24,61473.38,638,86.77,160.46,43,0,0,8.1,0,0.976,36
CHURN-SCORE-00114,2026-09,north,organic,young_professional,business,30,30,65421.95,688,108.11,349.96,87,1,0,12.5,14.12,0.821,71
CHURN-SCORE-00115,2026-07,north,retail,young_professional,standard,30,24,56952.07,562,50.33,157.21,48,1,0,19.01,15.5,0.994,10
CHURN-SCORE-00116,2026-08,south,paid_search,young_professional,basic,47,32,36673.36,576,27.36,93.26,24,0,0,11.5,8.44,0.974,3
CHURN-SCORE-00117,2026-09,west,referral,family,basic,24,18,85333.74,681,43.75,91.16,13,1,1,3.84,3.93,1.06,39
CHURN-SCORE-00118,2026-07,south,partner,family,standard,41,15,55916.28,753,53.78,118.5,41,0,0,19.79,0.19,0.951,50
CHURN-SCORE-00119,2026-08,east,retail,family,basic,40,20,80072.46,657,34.75,94.26,27,0,0,19.48,9.32,0.856,44
CHURN-SCORE-00120,2026-09,south,partner,family,basic,49,13,73143.33,688,45.26,64.84,17,0,0,1.83,2.61,1.12,62
CHURN-SCORE-00121,2026-07,central,referral,family,basic,48,104,51675.1,676,49.65,77.66,25,0,0,0,5.74,1.008,63
CHURN-SCORE-00122,2026-08,central,retail,family,premium,55,19,60127.02,596,76.94,156.16,44,0,0,27.96,0.45,0.874,51
CHURN-SCORE-00123,2026-09,north,partner,student,standard,24,81,43169.28,706,43.89,127.95,51,0,0,5.67,5.34,0.783,68
CHURN-SCORE-00124,2026-07,west,organic,young_professional,basic,23,42,68214.31,640,39.52,75.68,22,0,0,13.4,3.01,0.947,53
CHURN-SCORE-00125,2026-08,east,paid_search,family,standard,48,16,84130.23,639,47.18,118.79,34,2,1,27.83,4.17,0.888,25
CHURN-SCORE-00126,2026-09,east,paid_search,student,premium,40,22,40748.12,620,69.63,199.48,49,0,2,17.0,3.35,0.718,63
CHURN-SCORE-00127,2026-07,east,paid_search,small_business,standard,58,7,64795.25,670,91.87,146.31,45,2,0,11.45,12.71,0.969,36
CHURN-SCORE-00128,2026-08,south,organic,family,standard,55,34,75965.06,682,50.97,126.6,32,1,0,13.95,3.01,0.954,46
CHURN-SCORE-00129,2026-09,south,paid_search,family,premium,37,1,62340.71,574,87.99,241.27,60,1,0,17.37,15.5,0.952,31
CHURN-SCORE-00130,2026-07,north,organic,student,basic,22,61,54203.4,516,32.68,65.77,30,2,5,0,1.47,0.959,18
CHURN-SCORE-00131,2026-08,east,organic,family,premium,38,24,76935.47,677,102.95,197.87,38,1,0,4.35,7.54,0.938,48
CHURN-SCORE-00132,2026-09,south,partner,student,basic,33,20,39808.85,664,28.46,69.94,27,0,0,9.16,0.22,0.827,40
CHURN-SCORE-00133,2026-07,east,retail,family,standard,47,55,68449.81,696,64.89,146.11,67,1,0,12.97,8.3,0.869,44
CHURN-SCORE-00134,2026-08,central,organic,student,basic,19,7,18000,657,28.39,75.93,21,1,0,17.25,6.63,1.066,43
CHURN-SCORE-00135,2026-09,east,retail,senior,standard,69,30,49304.65,640,46.95,69.17,21,0,0,3.1,0,0.849,42
CHURN-SCORE-00136,2026-07,west,paid_search,young_professional,basic,35,25,78795.58,638,34.48,68.66,24,1,0,8.68,1.72,0.787,29
CHURN-SCORE-00137,2026-08,west,organic,family,standard,41,77,71400.48,678,77.88,169.07,51,0,0,1.84,7.59,1.068,38
CHURN-SCORE-00138,2026-09,south,partner,young_professional,standard,36,17,56248.69,605,58.45,113.06,42,0,1,0.51,1.13,0.977,53
CHURN-SCORE-00139,2026-07,west,retail,small_business,standard,42,37,115636.59,728,93.24,138.96,41,0,1,4.62,8.85,1.238,49
CHURN-SCORE-00140,2026-08,north,referral,young_professional,premium,18,65,55276.75,622,75.38,184.53,59,1,1,9.18,0,0.914,65
CHURN-SCORE-00141,2026-09,east,partner,student,basic,18,42,44508.78,710,28.84,56.89,14,2,1,0.14,0,1.023,56
CHURN-SCORE-00142,2026-07,central,referral,young_professional,basic,29,11,52543.8,480,41.86,67.41,29,0,0,0,0,0.953,62
CHURN-SCORE-00143,2026-08,north,organic,family,standard,33,11,90611.04,721,56.11,123.76,48,0,0,6.93,2.95,0.959,29
CHURN-SCORE-00144,2026-09,north,organic,student,basic,31,71,18000,629,30.51,71.54,17,1,0,3.98,6.02,0.909,49
CHURN-SCORE-00145,2026-07,central,paid_search,family,premium,41,25,93010.72,750,84.76,232.56,56,1,0,18.45,13.28,0.917,37
CHURN-SCORE-00146,2026-08,west,organic,young_professional,standard,33,25,94537.65,771,72.95,99.73,19,0,0,3.39,0.06,0.99,78
CHURN-SCORE-00147,2026-09,east,partner,family,premium,41,26,72914.74,632,84.25,236.09,52,2,0,14.82,7.8,0.827,56
CHURN-SCORE-00148,2026-07,south,retail,family,basic,48,31,62895.82,660,33.26,68.86,29,0,0,6.83,1.79,1.072,48
CHURN-SCORE-00149,2026-08,south,organic,family,premium,40,22,91181.29,850,99.23,180.87,48,1,0,8.62,0.08,1.024,33
CHURN-SCORE-00150,2026-09,south,organic,family,standard,43,11,47451.06,627,60.57,128.49,32,0,0,2.07,1.89,0.978,34
CHURN-SCORE-00151,2026-07,south,referral,family,standard,39,14,55628.31,758,59.03,119.51,34,0,0,9.86,1.89,1.013,39
CHURN-SCORE-00152,2026-08,west,retail,family,basic,35,42,97358.12,679,48.42,76.39,34,2,1,13.65,5.02,1.025,8
CHURN-SCORE-00153,2026-09,west,retail,young_professional,standard,21,19,79043.56,603,46.0,117.06,30,0,0,14.75,0.35,0.825,43
CHURN-SCORE-00154,2026-07,west,partner,senior,standard,60,43,67482.61,605,53.11,82.97,35,0,1,0.08,1.48,0.913,-1
CHURN-SCORE-00155,2026-08,south,paid_search,family,premium,43,49,69619.02,654,64.11,194.59,56,0,0,29.56,6.38,0.862,34
CHURN-SCORE-00156,2026-09,north,retail,family,standard,51,42,82483.94,703,56.26,106.17,28,1,0,21.83,0.78,0.85,76
CHURN-SCORE-00157,2026-07,north,referral,family,premium,66,37,59731.39,655,105.5,246.35,58,1,1,0.53,8.0,0.927,48
CHURN-SCORE-00158,2026-08,west,retail,young_professional,premium,34,28,72896.51,689,92.22,196.55,41,0,0,5.56,3.94,1.006,19
CHURN-SCORE-00159,2026-09,east,organic,small_business,business,29,10,100952.63,580,179.56,336.17,78,0,0,13.58,22.24,1.161,7
CHURN-SCORE-00160,2026-07,south,organic,young_professional,premium,18,42,55518.45,670,85.65,170.83,39,0,0,3.9,2.66,0.944,47
CHURN-SCORE-00161,2026-08,south,referral,young_professional,standard,43,60,64327.26,663,56.06,104.69,32,2,0,1.48,1.23,0.903,69
CHURN-SCORE-00162,2026-09,south,partner,family,basic,59,17,74245.75,677,42.16,76.93,26,5,0,12.23,5.34,1.057,8
CHURN-SCORE-00163,2026-07,north,organic,student,basic,27,82,30745.35,592,21.0,64.92,26,0,0,5.85,0,0.869,45
CHURN-SCORE-00164,2026-08,east,partner,young_professional,premium,33,74,69955.68,715,94.99,172.54,45,1,0,7.31,0,0.84,51
CHURN-SCORE-00165,2026-09,south,paid_search,family,standard,42,13,30056.02,615,64.88,133.11,46,1,0,11.75,10.4,1.065,49
CHURN-SCORE-00166,2026-07,north,referral,small_business,business,38,79,98371.59,621,189.98,294.36,69,1,0,5.41,3.0,1.25,45
CHURN-SCORE-00167,2026-08,east,organic,young_professional,premium,40,10,41670.24,593,79.72,207.36,63,0,1,9.56,8.63,0.872,37
CHURN-SCORE-00168,2026-09,south,paid_search,young_professional,premium,32,88,57449.68,582,61.93,162.09,42,2,0,20.42,0,1.071,33
CHURN-SCORE-00169,2026-07,central,retail,senior,standard,66,51,62296.12,636,33.93,105.64,36,0,1,15.27,1.37,0.781,49
CHURN-SCORE-00170,2026-08,south,paid_search,small_business,standard,53,16,97446.88,744,78.09,103.96,35,1,1,18.34,0.85,1.068,51
CHURN-SCORE-00171,2026-09,east,organic,family,standard,39,40,72303.6,667,68.21,119.99,44,1,1,1.66,0,1.012,44
CHURN-SCORE-00172,2026-07,west,organic,young_professional,premium,39,60,79623.38,650,93.29,176.17,51,1,1,0,0,0.961,57
CHURN-SCORE-00173,2026-08,west,organic,young_professional,premium,29,48,77354.43,635,90.05,206.02,62,2,1,6.89,0,0.971,27
CHURN-SCORE-00174,2026-09,west,organic,young_professional,standard,25,19,85418.14,642,57.24,117.52,27,0,1,5.28,3.9,1.056,29
CHURN-SCORE-00175,2026-07,south,paid_search,senior,basic,65,11,49640.22,689,19.15,25.75,4,0,0,9.31,0.82,0.886,75
CHURN-SCORE-00176,2026-08,central,paid_search,small_business,premium,45,9,108947.92,700,113.58,264.74,60,0,0,17.89,17.79,1.002,31
CHURN-SCORE-00177,2026-09,south,organic,family,business,36,19,77939.68,680,149.44,313.43,67,1,0,0,12.27,0.914,45
CHURN-SCORE-00178,2026-07,west,paid_search,young_professional,standard,37,58,96974.2,566,56.09,124.41,36,0,0,10.33,1.14,0.808,60
CHURN-SCORE-00179,2026-08,west,paid_search,young_professional,standard,28,4,65805.53,613,53.27,122.5,27,0,0,18.48,0,0.86,46
CHURN-SCORE-00180,2026-09,east,partner,student,standard,19,13,33925.91,531,42.97,126.83,31,1,1,13.68,5.93,0.867,2
CHURN-SCORE-00181,2026-07,central,organic,small_business,business,45,89,106693.5,724,213.22,344.44,85,0,1,0,30.24,1.226,32
CHURN-SCORE-00182,2026-08,central,organic,young_professional,premium,18,27,47438.23,594,95.36,150.34,42,0,0,0.67,0,1.001,99
CHURN-SCORE-00183,2026-09,north,retail,senior,premium,65,16,90134.23,671,64.16,74.13,15,1,0,19.39,0.61,0.756,55
CHURN-SCORE-00184,2026-07,east,organic,student,premium,19,20,50638.01,689,69.7,179.49,59,0,1,10.1,0,0.881,28
CHURN-SCORE-00185,2026-08,east,organic,senior,premium,79,120,52116.01,712,80.6,91.13,36,0,1,0,0.81,0.957,64
CHURN-SCORE-00186,2026-09,north,referral,family,standard,52,83,74198.3,681,64.7,153.9,42,2,0,5.64,11.31,0.865,63
CHURN-SCORE-00187,2026-07,east,partner,young_professional,business,49,31,82618.56,823,123.85,332.12,71,1,1,14.97,4.82,0.972,43
CHURN-SCORE-00188,2026-08,east,organic,young_professional,premium,18,29,70674.97,717,87.48,119.45,26,0,0,9.36,0.53,1.052,88
CHURN-SCORE-00189,2026-09,west,retail,senior,standard,76,31,40135.42,667,49.71,100.72,30,0,0,21.97,0,1.101,34
CHURN-SCORE-00190,2026-07,north,partner,family,premium,39,57,86703.86,677,86.99,257.33,62,2,0,11.43,6.11,0.974,67
CHURN-SCORE-00191,2026-08,central,paid_search,young_professional,premium,24,2,96545.21,754,65.18,171.54,53,1,1,26.88,0,0.89,71
CHURN-SCORE-00192,2026-09,east,organic,student,basic,19,32,52403.89,606,29.13,67.32,28,1,1,17.56,2.25,0.883,29
CHURN-SCORE-00193,2026-07,south,partner,young_professional,premium,47,58,60786.46,693,76.92,141.53,40,0,0,0,0.75,0.95,77
CHURN-SCORE-00194,2026-08,east,retail,senior,standard,68,32,49813.48,684,48.67,65.17,18,0,0,3.13,0,0.852,45
CHURN-SCORE-00195,2026-09,west,retail,young_professional,premium,34,19,72584.59,613,89.15,170.45,51,0,0,13.29,0.12,0.966,64
CHURN-SCORE-00196,2026-07,central,partner,family,standard,38,63,71898.69,692,51.64,164.6,35,0,0,10.07,12.21,0.97,100
CHURN-SCORE-00197,2026-08,north,paid_search,student,basic,26,6,34742.37,587,18.67,61.37,25,0,1,32.13,0,0.969,49
CHURN-SCORE-00198,2026-09,south,retail,student,basic,26,82,22610.19,603,18.41,59.17,24,0,1,12.92,0.15,0.876,54
CHURN-SCORE-00199,2026-07,west,retail,family,standard,47,120,76687.99,734,66.22,157.9,45,2,0,16.95,16.95,0.995,41
CHURN-SCORE-00200,2026-08,south,organic,family,basic,47,29,86419.48,675,32.74,57.06,26,0,1,2.49,1.54,1.01,16
CHURN-SCORE-00201,2026-09,west,organic,young_professional,basic,33,31,91517.98,674,37.74,74.67,31,0,1,11.82,2.69,0.875,51
CHURN-SCORE-00202,2026-07,east,organic,young_professional,premium,18,31,60990.23,551,90.98,195.81,51,0,1,5.52,5.22,1.061,57
