observation_id,machine_id,motor_load_pct,power_kw,vibration_rms_mm_s,bearing_temp_c,acoustic_rms_db,micro_stop_rate_per_h,throughput_units_h,load_variability_pct
OBS-010022,MC-181,47.7286,146.186,6.4452,81.2837,17.2616,0.2312,87.9185,4.8693
OBS-004693,MC-163,54.8757,142.2868,6.152,82.338,16.4063,0.2596,96.1089,4.7123
OBS-009763,MC-051,64.3249,131.3968,2.4652,74.7421,10.3781,0.0623,97.2464,1.6505
OBS-011791,MC-194,87.366,183.1121,3.0371,90.0301,10.3434,0.103,110.3186,1.8878
OBS-004304,MC-158,55.9282,107.2695,1.6133,71.0675,8.6067,0.0408,87.974,0.6468
OBS-007423,MC-208,71.3488,136.8167,1.6065,73.422,7.7806,0.0563,85.5426,0.1934
OBS-009916,MC-002,69.2271,121.905,1.7988,70.2096,8.0567,0.1111,83.2594,0.5812
OBS-006499,MC-188,64.5189,130.916,0.6227,70.1092,7.7235,0.1067,86.8559,0.4533
OBS-010005,MC-111,63.3936,122.3507,1.8573,70.976,9.32,0.1215,83.6002,1.7464
OBS-009408,MC-169,92.7159,186.703,3.3811,89.4304,13.9438,0.1665,106.6913,2.4293
OBS-001540,MC-033,93.4499,202.7695,3.7981,91.8947,13.5119,0.0831,112.3126,0.914
OBS-009028,MC-085,50.2388,105.6546,1.7678,69.5209,6.3089,0.1209,63.7454,0.5687
OBS-011526,MC-071,60.1905,113.8782,1.8617,71.859,8.3407,0.0192,83.1605,1.7567
OBS-009906,MC-157,69.699,141.5507,2.7316,72.1546,8.603,0.1329,102.5011,0.6815
OBS-004976,MC-226,58.4086,122.5544,1.6946,70.6053,7.7636,0.074,85.2824,0.1
OBS-011857,MC-115,55.2884,103.8483,1.4923,68.775,8.0695,0.112,82.0544,1.0652
OBS-009183,MC-010,46.3629,140.123,6.126,78.9408,15.9465,0.2759,91.3106,3.7992
OBS-006901,MC-216,69.1811,128.8127,2.0476,71.145,9.4902,0.0676,90.1701,0.4907
OBS-000474,MC-236,93.2814,201.8105,3.6316,94.2373,13.0229,0.1516,120.5002,1.095
OBS-008894,MC-078,51.7259,143.1593,5.6965,79.2852,14.9927,0.2432,92.7265,3.3514
OBS-005395,MC-020,55.9862,144.0869,5.8269,78.8864,14.8686,0.2844,95.5756,3.7772
OBS-005729,MC-222,40.3218,121.7631,5.6772,70.2979,13.9433,0.2457,78.1673,4.063
OBS-004084,MC-029,102.5274,219.5425,3.7426,97.3406,11.6536,0.0926,121.0115,2.3192
OBS-011879,MC-162,56.6687,158.4731,5.0967,82.5937,14.8989,0.2325,93.9818,5.5301
OBS-005417,MC-002,94.3702,199.8598,3.2331,93.0279,11.9661,0.1478,106.0697,2.3183
OBS-000009,MC-188,66.3764,126.7757,1.8443,71.7268,7.8863,0.1335,89.4822,0.1666
OBS-002683,MC-205,55.1071,148.7481,6.1836,81.3597,16.6182,0.2179,88.4043,3.7391
OBS-002776,MC-044,58.8033,123.5226,1.3395,67.3312,8.2469,0.078,85.9018,1.5795
OBS-007070,MC-004,69.0893,132.5202,1.9628,69.4585,8.8486,0.0603,79.1647,0.4857
OBS-000161,MC-228,61.4475,110.3552,1.9322,70.0654,7.5384,0.0655,83.8919,1.2361
OBS-003236,MC-148,60.8817,122.6266,1.4425,70.1815,6.7936,0.0752,80.3768,1.6485
OBS-002999,MC-204,65.1491,106.3864,1.0368,67.5431,7.6909,0.0833,82.1041,0.1178
OBS-003900,MC-085,94.032,197.0587,2.8683,94.6157,12.5713,0.1471,107.7449,1.838
OBS-003572,MC-094,65.9997,125.0915,1.6113,75.0058,7.7485,0.056,86.4445,1.5112
OBS-009860,MC-023,54.1526,135.8731,5.9976,77.3941,17.9861,0.222,92.7497,4.2265
OBS-007718,MC-109,92.4808,210.0744,3.4735,91.4128,12.3584,0.1391,107.2103,2.1275
OBS-010434,MC-103,68.5549,127.316,2.1541,75.3174,7.9607,0.0894,86.4182,0.5477
OBS-004499,MC-074,49.7723,124.7624,6.951,80.0018,14.8647,0.2465,90.5341,3.0926
OBS-010351,MC-057,61.2809,120.3108,1.3722,68.8433,7.5309,0.0809,78.5295,0.3049
OBS-005714,MC-052,87.2293,191.9386,2.3709,89.0425,12.3775,0.1976,112.6056,1.4739
OBS-006141,MC-036,60.7814,108.7699,1.3881,66.78,8.1807,0.0773,73.5157,0.3194
OBS-010488,MC-226,47.3043,131.7504,5.2588,77.8123,14.9987,0.2691,92.3728,3.9572
OBS-004423,MC-025,89.1829,186.0738,2.8158,91.7871,11.8118,0.1491,113.7608,2.9824
OBS-010281,MC-122,48.1131,133.453,6.4082,77.3636,15.3632,0.2737,91.0898,3.3872
OBS-003934,MC-052,57.0821,112.4201,0.1,68.7621,8.9842,0.0956,68.886,1.1401
OBS-008077,MC-197,92.7709,220.6795,3.7844,96.7942,12.6744,0.1299,121.7179,1.4874
OBS-010408,MC-090,56.769,146.9616,5.1943,82.5356,15.928,0.3225,97.8142,4.7468
OBS-000242,MC-138,72.4707,130.2611,2.0486,74.48,7.8177,0.0613,102.6978,0.1
OBS-009347,MC-125,88.7268,196.0906,2.824,93.5553,12.6358,0.1465,111.2245,1.7115
OBS-000050,MC-041,59.1387,105.6315,1.2639,68.2967,9.2352,0.0658,78.43,1.2669
OBS-006496,MC-130,36.7698,126.7468,5.2012,68.9673,16.3291,0.2357,74.8517,4.0664
OBS-002404,MC-108,78.276,183.6883,2.6085,88.2839,10.6026,0.1217,98.8782,1.3933
OBS-010061,MC-115,44.1861,122.0762,4.9431,73.2085,14.6975,0.2405,78.3856,3.6622
OBS-009462,MC-182,64.4797,135.1578,1.6508,71.1333,8.5019,0.1134,89.7222,1.6643
OBS-008490,MC-202,96.9345,197.0587,2.952,96.1593,12.6631,0.151,113.6131,1.2175
OBS-002230,MC-065,63.456,107.6473,1.373,68.6927,8.0009,0.03,76.2756,0.4682
OBS-010098,MC-207,61.47,116.4579,1.3118,71.1376,7.8164,0.0942,79.8305,0.9884
OBS-000952,MC-187,65.8061,123.2424,1.7586,72.9945,9.1377,0.1023,84.328,0.405
OBS-008093,MC-062,58.2066,147.7155,6.3324,82.1543,17.3235,0.2608,108.0123,4.2485
OBS-000162,MC-231,61.9601,121.1258,1.2714,70.8709,9.0366,0.1082,85.4977,1.3051
OBS-004938,MC-232,65.7976,132.9116,2.2211,74.7,8.3771,0.0132,87.1835,0.5328
OBS-005284,MC-083,92.8294,196.2612,3.0279,91.6686,13.5187,0.1343,113.0704,1.6266
OBS-004041,MC-131,56.8811,119.398,0.68,70.7221,6.9233,0.084,83.6968,1.2465
OBS-006432,MC-148,83.9098,186.6588,3.38,91.8479,11.1078,0.1074,101.6598,1.7546
OBS-010886,MC-177,70.8634,133.2501,2.4803,75.1109,8.2967,0.025,84.5668,1.2082
OBS-007807,MC-107,62.8798,134.2604,1.7459,75.3997,9.8163,0.0998,85.0065,0.471
OBS-003489,MC-121,63.9016,121.4494,1.6091,70.1225,8.2888,0.0221,85.9596,0.8598
OBS-004344,MC-220,65.2506,126.2471,1.5856,68.7669,7.984,0.0737,86.1989,1.3559
OBS-004320,MC-186,60.3419,123.3589,1.3565,68.8184,7.9644,0.0524,78.9086,0.3675
OBS-007296,MC-028,67.9192,151.642,5.8212,83.9057,16.7343,0.2068,109.7648,3.4977
OBS-002318,MC-067,90.0449,194.4624,3.515,93.5648,13.1593,0.1327,117.9091,2.2206
OBS-002231,MC-011,67.291,113.8248,1.873,69.9531,8.0202,0.0913,83.9527,0.9256
OBS-006919,MC-052,58.7127,114.4222,1.9603,71.0919,8.1314,0.0223,77.971,1.4543
OBS-007782,MC-200,54.0703,142.725,5.1933,76.8621,15.112,0.2865,90.9572,3.8899
OBS-003897,MC-040,64.5368,116.83,1.8147,77.0734,7.9424,0.0855,82.3271,0.8491
OBS-005556,MC-153,50.5444,141.1739,6.1262,77.7899,15.9958,0.2299,89.6977,4.538
OBS-006578,MC-146,43.9883,134.4182,5.6927,77.9305,15.1913,0.2462,81.554,3.4204
OBS-010606,MC-170,87.6093,184.3119,2.7997,90.2631,10.1998,0.128,104.0702,1.693
OBS-007214,MC-106,50.174,99.2501,1.6636,66.8449,7.4056,0.083,67.5375,0.9337
OBS-010110,MC-151,49.8531,104.708,2.2195,66.0044,7.3376,0.0795,78.2433,0.5171
OBS-008783,MC-062,70.8097,129.5345,1.3255,72.8598,10.7327,0.0471,93.1114,0.7485
OBS-006012,MC-099,84.5913,190.3275,3.1619,93.0091,11.8944,0.108,102.6394,1.6555
OBS-005793,MC-106,54.3804,138.6818,6.1241,80.33,13.688,0.249,91.3497,4.3556
OBS-000654,MC-043,89.997,210.4685,3.0682,89.9149,10.5572,0.1693,112.2422,0.6874
OBS-005675,MC-069,54.6454,99.647,1.0842,65.6741,8.1063,0.0853,73.2038,0.6381
OBS-009605,MC-116,62.6152,124.8197,2.1416,71.3477,6.868,0.105,83.495,0.2898
OBS-005077,MC-101,60.7695,132.7836,1.3651,72.9847,9.1316,0.0878,92.5696,0.8472
OBS-010918,MC-114,61.6635,117.8216,1.5402,68.698,6.9085,0.0355,81.7772,0.5155
OBS-003361,MC-178,45.5532,105.0437,5.4152,76.6018,15.4302,0.1801,77.1004,3.5917
OBS-006661,MC-088,91.7279,194.876,2.9743,90.6573,12.2094,0.1197,105.8423,0.824
OBS-003658,MC-015,82.2982,183.5859,3.062,91.5826,10.5858,0.1316,106.9918,1.0094
OBS-001091,MC-218,51.9844,136.8153,5.8066,78.6864,14.8894,0.3243,86.2834,4.0304
OBS-005799,MC-081,91.8042,184.6914,2.7494,89.5603,9.7634,0.1897,106.4697,0.4823
OBS-000537,MC-058,67.5733,135.1589,2.5808,73.1246,9.723,0,96.7207,1.1092
OBS-004342,MC-216,58.5578,123.3277,2.43,75.062,8.9394,0.0447,84.1442,0.9029
OBS-007528,MC-157,68.2765,135.8067,2.4515,70.5022,6.5887,0.1009,90.1849,1.2074
OBS-006708,MC-085,53.8099,101.3527,1.5685,66.7292,6.2925,0.103,76.8785,0.1341
OBS-005211,MC-204,59.633,112.7664,1.2997,69.7644,8.4329,0.108,82.841,1.4923
OBS-003139,MC-101,50.3488,143.1589,5.3147,78.2597,16.871,0.2576,98.769,3.6914
OBS-010748,MC-093,61.7305,126.4955,1.3857,73.5653,8.5675,0,86.5822,0.3283
OBS-006690,MC-110,79.025,171.8602,2.537,84.2542,10.5239,0.0726,98.7288,1.4834
OBS-001163,MC-078,84.9943,189.2437,2.1074,91.2099,11.3384,0.0857,107.4461,1.5831
OBS-009767,MC-058,62.5703,127.4018,1.523,70.8553,8.6922,0.101,82.0029,0.4798
OBS-003529,MC-023,42.6186,128.0642,4.7943,74.3576,16.42,0.2918,88.1515,4.5124
OBS-005731,MC-158,51.7561,105.9084,1.8615,66.7773,6.9694,0.0465,77.7011,0.1
OBS-011451,MC-013,54.3256,95.9642,2.0171,64.3549,5.9258,0.1193,72.0457,1.3021
OBS-001505,MC-196,96.4614,203.3923,3.7164,91.7149,11.3735,0.1661,121.7858,0.1925
OBS-007717,MC-137,58.4682,118.2719,1.2433,71.4658,7.1749,0.1137,77.8138,1.2805
OBS-002714,MC-034,73.9352,168.8339,2.4421,87.07,9.4544,0.134,99.0982,1.9424
OBS-010657,MC-088,58.9989,115.5097,1.7242,71.4749,7.9385,0.0719,75.2918,0.3027
OBS-011937,MC-103,97.7278,212.0274,4.4662,95.8567,12.84,0.0443,120.4675,1.0912
OBS-006175,MC-034,85.5447,195.2731,2.9194,90.155,9.7276,0.1173,109.9494,1.6979
OBS-001043,MC-195,57.6109,151.5887,5.9742,80.1634,18.2149,0.2224,97.3697,3.4487
OBS-006401,MC-145,67.5299,128.5183,1.8064,72.2779,7.9017,0.0985,91.7705,0.3297
OBS-011539,MC-189,86.1729,185.8688,3.273,91.2334,11.9216,0.1568,101.0702,2.0152
OBS-010928,MC-105,95.0983,211.4041,4.0359,94.5415,13.5806,0.1194,114.5177,1.6703
OBS-009737,MC-171,56.4443,101.7433,0.9871,68.9079,6.6724,0.1079,87.0004,0.7036
OBS-009442,MC-182,69.0438,130.1848,1.8984,71.6942,8.9522,0.0861,91.9356,1.3446
OBS-003099,MC-074,60.9173,123.6393,1.2041,65.7297,7.9277,0.0966,84.4076,0.7815
OBS-006426,MC-225,48.5094,148.2168,6.2322,82.475,14.9329,0.2839,98.1174,2.83
OBS-003655,MC-107,84.9737,197.6438,2.6829,89.9185,11.943,0.1553,107.9656,1.7841
OBS-008029,MC-200,93.066,198.633,3.5766,90.9577,11.9361,0.0715,107.9809,1.4133
OBS-011086,MC-022,47.0811,135.3136,5.3258,80.1507,15.6236,0.193,97.639,3.8154
OBS-005320,MC-046,97.9898,203.9329,2.7387,91.289,13.5412,0.2212,122.6042,1.9768
OBS-002446,MC-191,79.4143,201.9827,3.0597,87.7059,11.5314,0.1141,105.4544,1.8852
OBS-010770,MC-142,61.8241,115.5533,1.6572,73.9626,7.4411,0.0526,82.1479,1.5546
OBS-009193,MC-020,98.5653,206.8694,3.6581,93.1877,12.2343,0.1275,113.399,1.7267
OBS-009413,MC-175,84.5825,183.9453,2.7198,84.4547,9.6805,0.1377,102.4983,1.8475
OBS-011709,MC-001,61.7874,121.2199,1.9066,66.4618,7.3639,0.0766,81.2491,1.7767
OBS-000584,MC-234,58.4566,121.4664,1.3826,68.2335,8.1209,0.0732,72.5455,0.1
OBS-005564,MC-118,57.3548,100.7234,2.0126,68.673,6.8848,0.0566,74.4994,0.2722
OBS-008157,MC-059,102.0853,193.7914,2.8276,93.4443,12.1647,0.087,121.8362,2.3791
OBS-006345,MC-200,88.4123,197.4897,2.3951,87.1249,11.1441,0.1292,109.9474,1.7772
OBS-011237,MC-067,71.8053,134.0046,2.4943,77.273,8.1276,0.0306,104.6106,0.1
OBS-002071,MC-089,89.6208,190.4671,3.1095,92.3971,11.5793,0.1215,113.3436,0.9072
OBS-009497,MC-225,59.2009,146.6749,6.6564,80.3348,15.8562,0.2415,99.2168,4.0962
OBS-010464,MC-085,73.6459,133.8043,2.7753,79.3062,9.0807,0.1371,106.0643,1.0943
OBS-011008,MC-218,53.3402,96.138,1.4925,65.2152,7.188,0.0648,72.8421,0.1676
OBS-004510,MC-069,76.9366,171.5741,2.5447,87.756,10.2959,0.1795,95.8821,1.4469
OBS-003775,MC-061,56.7439,150.9112,5.6762,82.0147,16.6534,0.2581,100.3372,2.9704
OBS-001834,MC-090,55.4851,104.6324,1.4178,66.7613,7.7116,0.0607,73.221,0.4304
OBS-005918,MC-083,73.5229,139.8174,1.8254,75.8171,9.5146,0.0144,98.2142,0.7274
OBS-008864,MC-195,78.2564,142.0573,1.9517,77.6625,10.5135,0.1451,103.0114,0.6572
OBS-011302,MC-235,46.9374,128.5871,6.1718,75.0,15.6003,0.2793,93.607,4.5001
OBS-002619,MC-061,43.3097,138.82,5.5465,79.4281,15.7804,0.2326,92.0957,3.4471
OBS-009972,MC-043,59.1549,114.9309,1.1599,70.011,7.7951,0.0865,74.0007,1.1636
OBS-006406,MC-011,82.1085,189.5015,2.6018,89.6997,11.5445,0.1291,97.439,1.6743
OBS-008795,MC-203,83.7696,170.862,2.279,89.7694,9.6535,0.1012,102.2315,1.6218
OBS-010698,MC-154,68.3549,128.2086,1.3112,75.8521,8.6059,0.0488,95.9038,0.1339
OBS-004772,MC-134,63.9302,114.3163,1.5634,69.8625,7.3726,0.1447,83.0101,0.4038
OBS-005722,MC-212,73.4671,134.0715,3.0445,71.6349,10.1445,0.0672,92.6221,0.639
OBS-010184,MC-237,53.7202,111.7597,1.669,70.8187,7.1728,0.1261,73.632,0.9953
OBS-007925,MC-090,55.2238,127.3664,2.2455,68.3185,9.6822,0.1316,80.7146,0.1
OBS-006990,MC-039,89.1015,190.7382,3.3623,91.8863,13.5278,0.1366,114.6161,1.3102
OBS-005369,MC-226,69.0132,136.0018,2.4483,71.804,9.5259,0.1245,86.4279,0.4959
OBS-003011,MC-155,65.9873,135.5099,2.9116,75.0726,9.007,0.0596,110.5463,0.5808
OBS-009660,MC-041,56.7157,108.2217,1.8354,72.9059,8.8817,0.093,82.1746,0.9243
OBS-008259,MC-093,55.0331,131.6983,5.9519,81.9171,16.1113,0.2498,98.3069,3.9618
OBS-001426,MC-231,54.9655,109.2751,1.4464,72.773,7.2982,0.0091,83.9441,0.5853
OBS-007605,MC-002,82.7664,179.9042,3.0103,90.2348,10.7507,0.1088,101.5489,1.2742
OBS-000398,MC-138,41.7747,124.1632,5.12,77.6628,15.4029,0.303,86.5315,4.4615
OBS-009359,MC-107,79.6112,185.6298,2.0515,87.6782,10.06,0.115,101.0778,2.4887
OBS-004636,MC-173,86.8968,183.1182,3.0649,88.772,12.1496,0.1056,105.5202,0.2378
OBS-004381,MC-130,54.8603,143.4279,5.7532,79.3141,15.0042,0.1687,99.1059,3.7147
OBS-005154,MC-089,93.8519,209.591,3.4299,92.5058,13.0745,0.1004,112.3545,1.2695
OBS-007321,MC-028,81.5858,183.8538,2.9847,89.644,12.9267,0.1008,106.2308,1.5099
OBS-010662,MC-094,65.3799,125.8443,0.9478,71.0535,9.437,0.1248,99.0737,1.3167
OBS-001849,MC-008,61.5152,110.1499,1.753,70.4105,6.6869,0.0934,85.802,0.693
OBS-005859,MC-108,80.7262,179.5486,2.6721,84.4312,12.5766,0.1562,96.5897,1.8931
OBS-010417,MC-213,61.0561,124.1864,1.5838,76.967,8.5898,0.0245,77.1337,1.5975
OBS-005758,MC-238,74.1497,144.657,1.7819,78.3956,9.1018,0.0938,93.6753,2.5535
OBS-010382,MC-184,56.1231,151.1985,5.8992,83.4891,17.4859,0.313,99.8523,4.6133
OBS-005602,MC-127,36.5353,111.301,5.1046,73.4856,14.7018,0.2303,62.8407,3.5555
OBS-005525,MC-132,56.5483,98.052,1.9336,67.2118,7.7908,0.0679,76.2706,0.9669
OBS-004460,MC-132,65.5165,135.9639,2.5205,71.5492,10.4723,0.0652,86.1575,0.644
OBS-002842,MC-103,68.1988,135.55,2.0169,71.8021,8.2301,0.1204,97.5329,1.6514
OBS-006900,MC-218,53.8661,149.0394,6.0912,83.1118,17.2765,0.2441,95.1764,3.4777
OBS-000170,MC-227,66.6543,132.53,1.9689,73.1164,9.3627,0.0395,95.8032,0.1
OBS-005806,MC-068,51.972,93.1309,1.0563,66.1597,7.6458,0.0101,62.6718,1.1141
OBS-011669,MC-078,57.9276,119.501,1.0095,71.0614,8.342,0,84.6964,1.1825
OBS-009212,MC-188,66.4393,136.6297,1.6574,75.2358,7.7264,0.1049,93.3205,1.2317
OBS-002061,MC-152,60.7392,156.2497,5.8511,84.7606,16.9873,0.2351,103.3757,3.3885
OBS-009854,MC-030,45.1923,136.2822,4.9887,76.99,16.0076,0.1737,85.2676,4.7199
OBS-005963,MC-054,56.3337,145.3044,4.8665,81.6239,13.9446,0.2277,95.4981,4.2444
OBS-002771,MC-107,56.2249,143.938,5.6928,85.792,17.4151,0.2592,103.0186,3.9331
OBS-010041,MC-205,93.8383,209.9035,3.1683,95.3432,12.3459,0.141,119.1741,1.8644
OBS-003018,MC-125,66.8715,121.5592,2.0956,68.4391,7.5773,0.05,95.877,0.8376
OBS-010701,MC-058,59.1482,119.3298,0.8446,70.9426,9.0353,0.1041,84.392,0.4511
OBS-003683,MC-084,69.6969,138.9222,2.021,71.0887,8.7917,0.0575,87.5239,0.4178
OBS-010388,MC-143,82.7894,192.7118,2.5097,89.8073,11.5718,0.1405,100.715,2.2221
OBS-011226,MC-176,45.8228,123.1531,5.4426,77.0976,16.5273,0.2358,93.138,4.003
OBS-010100,MC-114,46.8986,118.8018,5.0016,74.3631,16.1426,0.2047,89.9077,3.9276
OBS-001552,MC-075,73.9046,125.3072,1.6198,74.1111,8.438,0.0768,99.349,0.6252
OBS-006848,MC-039,90.7964,198.6619,3.8031,93.782,13.9242,0.2068,110.9337,1.7734
OBS-003905,MC-193,67.5035,118.6964,1.9291,71.2359,9.6662,0.0847,74.0112,0.2677
OBS-006249,MC-210,53.8246,152.9394,5.275,79.7222,16.9774,0.2306,96.757,4.2492
OBS-010389,MC-099,70.2267,118.5345,1.5144,77.5784,9.8296,0.0489,96.1145,0.4131
OBS-010483,MC-122,68.7235,134.3607,1.8532,75.7589,9.0518,0.0981,93.7168,0.6316
OBS-009032,MC-152,53.5696,138.6872,6.3042,77.4948,16.8075,0.2175,102.123,3.5207
OBS-008500,MC-191,85.7269,200.3577,2.6554,86.4031,12.484,0.1099,102.1695,2.1446
OBS-002453,MC-137,92.0217,193.5139,2.6212,92.3629,11.2131,0.1089,119.8961,2.5129
OBS-000418,MC-029,55.4764,97.4802,1.5572,69.2311,7.6447,0.0281,75.4926,0.9875
OBS-001797,MC-056,62.104,126.9403,1.7363,74.7303,6.9451,0.1175,88.9416,1.428
OBS-004751,MC-189,87.816,191.8328,3.5475,91.6523,11.7233,0.1031,102.0149,1.2079
OBS-007038,MC-094,88.0981,181.7758,2.0904,90.151,11.8835,0.1686,100.9342,2.4265
OBS-008982,MC-021,83.6566,197.5972,2.5949,91.4429,9.8764,0.1066,108.3078,2.4797
OBS-004855,MC-214,68.867,128.85,2.3672,74.5166,9.7282,0.0737,83.9703,0.3034
OBS-007543,MC-166,90.994,188.1279,2.6397,92.5633,11.2047,0.1108,115.635,1.1216
OBS-000892,MC-226,66.4196,122.1382,1.7363,71.4272,9.3457,0.0793,96.6469,1.3162
OBS-006278,MC-004,61.6859,125.0265,2.1103,71.6382,8.5295,0.0844,76.931,1.2874
OBS-008143,MC-144,86.5528,178.0113,3.7662,89.1092,10.4925,0.1284,107.314,2.1125
OBS-010552,MC-020,48.8091,109.6247,0.8841,69.2173,7.8721,0.1017,74.4417,0.1
OBS-011639,MC-183,58.2363,97.7777,1.4416,65.8409,7.5401,0.0364,77.1461,0.1
OBS-001534,MC-036,88.168,182.4253,3.2373,91.4008,12.0019,0.1505,113.3983,1.0856
OBS-010142,MC-167,85.8047,183.1572,2.1125,92.9536,10.055,0.1859,102.5598,1.1667
OBS-007463,MC-237,68.6304,133.221,2.2425,75.6997,9.2946,0.0222,87.112,0.1936
OBS-004136,MC-188,53.4873,106.9135,1.1498,69.512,6.6697,0.0569,68.5676,0.9208
OBS-007285,MC-198,47.0626,128.9346,6.7805,81.843,16.0355,0.2325,96.1588,4.5676
OBS-010947,MC-021,79.821,191.7838,2.9319,85.2782,11.0369,0.1231,104.216,2.459
OBS-005751,MC-179,52.0572,93.0035,1.1715,69.1737,6.5684,0.0602,68.2445,1.1465
OBS-009791,MC-147,47.0736,138.1173,5.1857,81.9445,15.8665,0.2531,95.9528,4.7242
OBS-004906,MC-042,57.3967,112.4041,1.5291,69.5456,6.7745,0.0854,77.0119,0.6507
OBS-002099,MC-232,91.5718,189.8333,2.9107,89.795,11.2477,0.1372,105.6017,1.3222
OBS-009097,MC-022,70.4774,118.2964,1.7739,73.7292,9.3818,0.0118,89.2969,0.7939
OBS-010625,MC-223,64.8838,107.483,1.0409,71.2607,7.5374,0.1221,80.7841,0.295
OBS-003492,MC-220,55.0204,94.0253,1.2345,66.2339,6.5766,0.0557,62.2087,0.1763
OBS-001872,MC-197,69.8864,123.2295,1.8364,74.7232,8.988,0.1098,89.5634,2.0325
OBS-003888,MC-011,73.5609,140.9683,2.6168,78.6143,9.1887,0.0289,93.1467,0.8836
OBS-007476,MC-201,87.1778,196.2538,2.5951,92.2934,11.9969,0.181,112.9405,1.5763
OBS-000031,MC-125,73.4245,126.6929,2.9355,77.0672,10.0814,0.1146,96.9569,0.6102
OBS-010209,MC-084,44.7813,123.3013,5.2441,77.9986,15.5461,0.2347,79.0861,4.1934
